record_id,timestamp,plant,production_line,machine_id,electricity_kWh,gas_m3,compressed_air_m3,water_liters,steam_kg,peak_demand_kW,power_factor,reactive_power_kVAR,carbon_kg_CO2e,energy_intensity_kWh_unit,tariff_rate_USD_kWh,energy_cost_USD,shift,operating_mode
ENG-000045,2024-01-02 20:00:04,Plant-B,LINE-10,MCH-014,132.974,6.802,98.19,468.5,64.4,175.18,0.8661,50.6,84.382,1.0611,0.1,9.23,Night,Standby
ENG-000046,2024-01-02 21:00:10,Plant-B,LINE-8,MCH-003,91.118,15.576,84.75,379.5,125.94,209.54,0.9511,36.03,49.137,0.2999,0.1,16.81,Night,Production
ENG-000047,2024-01-02 22:00:21,Plant-A,LINE-3,MCH-019,160.172,24.489,54.68,857.2,185.68,238.37,0.8869,30.25,83.889,0.8073,0.08,11.42,Afternoon,Maintenance
ENG-000048,2024-01-02 23:00:21,Plant-C,LINE-7,MCH-034,81.04,4.471,49.83,312.5,271.25,136.42,0.9047,38.28,77.21,1.0308,0.08,8.07,Afternoon,Production
ENG-000049,2024-01-03 00:00:17,Plant-B,LINE-7,MCH-036,150.102,4.387,95.09,655.6,188.98,181.88,0.9054,30.48,41.603,1.0197,0.13,19.74,Night,Idle
ENG-000050,2024-01-03 01:00:18,Plant-A,LINE-4,MCH-022,107.479,12.091,110.8,608.0,255.28,106.14,0.8697,38.62,65.736,0.7544,0.16,9.88,Morning,Idle
ENG-000051,2024-01-03 02:00:16,Plant-C,LINE-4,MCH-012,150.544,16.485,74.14,382.7,90.8,203.88,0.9841,22.55,66.497,0.928,0.16,19.1,Night,Production
ENG-000052,2024-01-03 03:00:29,Plant-C,LINE-10,MCH-014,46.295,17.659,64.25,458.8,147.75,203.93,0.9448,37.3,48.521,1.2887,0.16,9.68,Morning,Production
ENG-000053,2024-01-03 04:00:28,Plant-C,LINE-3,MCH-026,132.29,24.126,111.84,559.7,207.33,234.67,0.9178,6.65,74.028,0.7626,0.1,20.41,Morning,Standby
ENG-000054,2024-01-03 05:00:14,Plant-B,LINE-6,MCH-032,107.585,20.526,95.68,829.7,229.38,210.5,0.9031,38.08,69.072,0.7897,0.08,11.48,Night,Production
ENG-000055,2024-01-03 06:00:21,Plant-C,LINE-4,MCH-022,146.752,23.844,107.85,340.4,191.55,215.26,0.9757,12.42,29.264,0.7208,0.1,13.15,Morning,Production
ENG-000056,2024-01-03 07:00:29,Plant-A,LINE-5,MCH-003,128.254,15.034,39.16,529.1,172.09,191.58,0.9691,28.02,71.437,0.7013,0.08,17.29,Night,Standby
ENG-000057,2024-01-03 08:00:26,Plant-A,LINE-4,MCH-020,130.137,20.071,86.42,595.7,160.62,281.29,0.9244,26.67,72.818,0.8509,0.13,5.23,Night,Production
ENG-000058,2024-01-03 09:00:06,Plant-C,LINE-6,MCH-024,83.637,13.616,90.89,447.0,189.81,188.48,0.8592,33.6,68.178,0.6879,0.13,16.55,Night,Standby
ENG-000059,2024-01-03 10:00:01,Plant-B,LINE-4,MCH-040,113.73,20.425,91.69,510.6,211.05,169.2,0.8946,16.92,44.984,1.0848,0.1,15.67,Afternoon,Production
ENG-000060,2024-01-03 11:00:15,Plant-B,LINE-7,MCH-028,131.559,26.309,108.87,435.6,275.48,249.65,0.993,18.22,59.319,0.6148,0.13,8.98,Afternoon,Production
ENG-000061,2024-01-03 12:00:24,Plant-C,LINE-7,MCH-009,127.274,16.52,55.13,553.0,193.6,206.43,0.9702,25.85,51.244,1.0023,0.13,18.43,Afternoon,Production
ENG-000062,2024-01-03 13:00:30,Plant-C,LINE-1,MCH-017,139.724,12.452,25.79,440.7,238.7,175.78,0.9832,40.71,79.12,0.7509,0.1,17.95,Morning,Production
ENG-000063,2024-01-03 14:00:06,Plant-A,LINE-5,MCH-020,116.363,20.377,90.57,376.1,237.32,118.97,0.9243,31.29,69.408,1.0705,0.08,10.65,Morning,Production
ENG-000064,2024-01-03 15:00:05,Plant-C,LINE-8,MCH-045,115.513,15.424,93.55,398.5,127.72,110.15,0.9468,30.98,48.879,1.2612,0.16,10.14,Night,Production
ENG-000065,2024-01-03 16:00:03,Plant-B,LINE-5,MCH-031,66.477,21.149,69.65,468.5,240.9,153.98,0.9109,21.22,83.441,1.0304,0.13,25.61,Afternoon,Maintenance
ENG-000066,2024-01-03 17:00:13,Plant-A,LINE-7,MCH-017,153.207,17.765,90.13,336.6,214.38,166.57,0.879,15.29,76.235,1.1871,0.13,13.75,Afternoon,Production
ENG-000067,2024-01-03 18:00:12,Plant-B,LINE-8,MCH-043,158.699,6.589,86.73,635.7,182.5,109.91,0.9413,38.27,97.274,0.754,0.1,8.02,Morning,Production
ENG-000068,2024-01-03 19:00:11,Plant-B,LINE-6,MCH-040,87.635,15.586,100.82,698.4,281.83,150.01,0.8586,37.66,70.575,0.8563,0.1,21.21,Afternoon,Production
ENG-000069,2024-01-03 20:00:26,Plant-B,LINE-4,MCH-005,69.637,7.564,53.02,387.3,240.91,272.8,0.9158,42.94,73.761,0.5781,0.16,7.51,Night,Production
ENG-000070,2024-01-03 21:00:24,Plant-A,LINE-8,MCH-049,75.771,16.695,85.57,443.2,307.45,110.38,0.8835,36.16,74.162,1.0932,0.13,17.41,Night,Production
ENG-000071,2024-01-03 22:00:28,Plant-C,LINE-8,MCH-012,145.894,8.302,54.33,338.5,192.54,146.74,0.8802,15.47,58.506,0.8925,0.13,7.5,Night,Standby
ENG-000072,2024-01-03 23:00:12,Plant-B,LINE-6,MCH-022,141.734,16.851,49.94,594.4,282.03,150.03,0.8797,27.03,54.352,0.8978,0.08,13.0,Morning,Production
ENG-000073,2024-01-04 00:00:18,Plant-C,LINE-10,MCH-010,130.33,14.872,56.51,536.0,249.03,179.29,0.9477,26.87,57.021,0.4672,0.13,8.74,Morning,Production
ENG-000074,2024-01-04 01:00:28,Plant-A,LINE-7,MCH-042,143.314,16.924,92.82,559.5,147.69,191.87,0.8608,40.3,75.604,0.6811,0.08,10.46,Night,Production
ENG-000075,2024-01-04 02:00:03,Plant-C,LINE-2,MCH-028,137.23,8.629,95.52,533.3,217.39,182.02,0.9049,7.43,71.314,0.6273,0.1,21.49,Night,Idle
ENG-000076,2024-01-04 03:00:01,Plant-B,LINE-6,MCH-008,120.226,14.885,86.3,515.5,199.62,142.78,0.9511,18.58,71.22,1.0833,0.08,18.07,Morning,Standby
ENG-000077,2024-01-04 04:00:23,Plant-C,LINE-10,MCH-024,110.265,23.883,91.04,602.9,249.98,172.49,0.9395,28.17,61.271,0.7431,0.08,28.84,Morning,Production
ENG-000078,2024-01-04 05:00:14,Plant-C,LINE-5,MCH-048,108.793,3.737,85.16,585.9,185.56,199.2,0.9516,27.82,72.945,0.7804,0.13,18.12,Night,Idle
ENG-000079,2024-01-04 06:00:01,Plant-C,LINE-3,MCH-011,93.689,19.418,61.3,506.7,237.72,96.23,0.8817,21.76,59.83,0.7548,0.1,19.87,Night,Maintenance
ENG-000080,2024-01-04 07:00:20,Plant-B,LINE-6,MCH-025,123.747,15.562,62.35,415.5,311.43,223.37,0.9442,11.56,61.918,0.6329,0.08,19.45,Night,Standby
ENG-000081,2024-01-04 08:00:17,Plant-A,LINE-9,MCH-022,141.758,20.271,104.53,474.6,132.95,150.32,0.9232,35.91,62.241,0.3796,0.1,15.3,Morning,Idle
ENG-000082,2024-01-04 09:00:21,Plant-C,LINE-9,MCH-038,84.474,14.838,90.39,451.7,225.17,220.13,0.9961,39.86,68.53,0.9041,0.08,7.73,Afternoon,Idle
ENG-000083,2024-01-04 10:00:21,Plant-B,LINE-2,MCH-026,131.164,18.18,97.02,545.9,194.12,186.22,0.9366,25.61,50.58,0.761,0.1,11.29,Afternoon,Production
ENG-000084,2024-01-04 11:00:12,Plant-A,LINE-8,MCH-040,151.089,7.202,119.26,522.8,242.94,155.33,0.8936,30.58,56.431,0.966,0.13,13.07,Night,Standby
ENG-000085,2024-01-04 12:00:24,Plant-C,LINE-3,MCH-029,125.87,21.732,61.67,707.0,147.12,164.04,0.886,20.0,57.136,0.6435,0.16,8.55,Night,Production
ENG-000086,2024-01-04 13:00:29,Plant-C,LINE-8,MCH-025,139.858,16.24,65.92,615.6,148.57,231.35,0.9001,31.78,56.168,0.7002,0.13,18.14,Night,Production
ENG-000087,2024-01-04 14:00:02,Plant-A,LINE-3,MCH-032,141.594,11.316,81.75,272.8,135.55,160.15,0.8805,31.08,59.909,0.8946,0.13,12.1,Morning,Production
ENG-000088,2024-01-04 15:00:27,Plant-B,LINE-7,MCH-028,110.115,20.4,113.84,384.2,177.29,181.71,0.9462,29.55,72.497,0.9516,0.08,13.73,Morning,Maintenance
ENG-000089,2024-01-04 16:00:03,Plant-B,LINE-10,MCH-025,128.972,16.111,76.38,525.1,143.13,160.05,0.9139,36.5,72.521,0.8497,0.1,8.46,Afternoon,Standby
ENG-000090,2024-01-04 17:00:26,Plant-B,LINE-2,MCH-004,147.061,17.229,64.55,343.6,225.68,171.21,1.0,37.99,81.435,0.8003,0.16,15.06,Afternoon,Idle
ENG-000091,2024-01-04 18:00:15,Plant-B,LINE-5,MCH-035,108.724,23.878,81.78,425.8,199.84,150.89,0.8892,40.26,59.362,0.8386,0.08,12.97,Afternoon,Production
ENG-000092,2024-01-04 19:00:02,Plant-B,LINE-8,MCH-044,181.067,16.792,61.62,672.3,182.9,209.53,0.9547,40.58,54.091,0.939,0.1,12.42,Afternoon,Standby
ENG-000093,2024-01-04 20:00:06,Plant-B,LINE-8,MCH-018,111.068,7.748,52.2,399.7,160.04,202.1,0.9419,25.1,42.822,0.7344,0.1,16.1,Afternoon,Production
ENG-000094,2024-01-04 21:00:21,Plant-C,LINE-7,MCH-002,167.991,8.311,75.37,403.3,174.84,145.24,0.9226,26.38,53.246,0.8475,0.13,17.14,Afternoon,Production
ENG-000095,2024-01-04 22:00:29,Plant-C,LINE-10,MCH-049,158.842,9.494,24.68,524.7,170.96,174.89,0.9291,15.62,46.693,0.8605,0.16,14.48,Afternoon,Maintenance
ENG-000096,2024-01-04 23:00:08,Plant-B,LINE-9,MCH-012,98.266,15.571,67.65,324.8,132.32,204.64,0.8866,32.21,74.207,0.7899,0.1,12.51,Night,Idle
ENG-000097,2024-01-05 00:00:00,Plant-C,LINE-7,MCH-001,129.074,11.248,94.51,241.7,131.92,159.63,0.9146,27.76,44.388,1.1117,0.08,10.49,Night,Production
ENG-000098,2024-01-05 01:00:20,Plant-A,LINE-10,MCH-016,101.42,13.188,84.83,155.2,141.18,197.31,0.9051,15.97,58.97,0.9528,0.08,11.64,Afternoon,Production
ENG-000099,2024-01-05 02:00:04,Plant-A,LINE-3,MCH-026,103.355,15.415,62.3,427.8,115.49,225.72,1.0,25.7,58.754,0.6216,0.16,6.87,Afternoon,Production
ENG-000100,2024-01-05 03:00:11,Plant-C,LINE-6,MCH-044,140.58,13.931,79.08,436.2,110.8,257.62,0.8636,28.32,85.326,0.8157,0.16,10.72,Night,Production
ENG-000101,2024-01-05 04:00:01,Plant-B,LINE-1,MCH-042,96.953,3.072,63.38,629.7,126.87,156.92,0.9292,7.52,63.625,0.8751,0.1,8.79,Night,Production
ENG-000102,2024-01-05 05:00:30,Plant-B,LINE-7,MCH-041,122.155,13.545,47.3,415.1,179.9,171.95,0.9469,46.95,42.341,1.1858,0.08,16.9,Morning,Production
ENG-000103,2024-01-05 06:00:00,Plant-B,LINE-1,MCH-009,98.422,10.375,69.34,380.5,136.75,177.39,0.9319,28.32,63.544,0.8512,0.13,14.54,Afternoon,Maintenance
ENG-000104,2024-01-05 07:00:13,Plant-C,LINE-5,MCH-043,97.448,14.082,90.57,418.9,191.57,152.67,0.9392,18.69,63.231,0.8442,0.13,14.89,Morning,Standby
ENG-000105,2024-01-05 08:00:08,Plant-C,LINE-4,MCH-020,116.719,19.926,101.06,586.5,196.56,216.74,0.9348,31.45,48.973,1.0736,0.1,22.2,Afternoon,Production
ENG-000106,2024-01-05 09:00:05,Plant-B,LINE-3,MCH-019,154.393,19.162,69.58,692.6,145.41,121.3,0.9641,51.77,63.114,0.9261,0.08,27.89,Afternoon,Production
ENG-000107,2024-01-05 10:00:04,Plant-C,LINE-5,MCH-022,93.427,21.055,89.62,565.7,205.46,165.71,0.8564,25.45,56.304,0.7085,0.08,13.07,Afternoon,Production
ENG-000108,2024-01-05 11:00:14,Plant-A,LINE-1,MCH-006,191.347,9.815,99.07,341.2,236.53,121.44,0.8903,29.2,48.612,0.5475,0.08,8.13,Night,Production
ENG-000109,2024-01-05 12:00:13,Plant-A,LINE-5,MCH-003,112.95,21.142,71.1,380.1,220.55,180.3,0.9205,36.55,51.907,0.8541,0.16,10.16,Afternoon,Production
ENG-000110,2024-01-05 13:00:29,Plant-B,LINE-1,MCH-028,117.911,19.54,113.75,220.6,148.7,123.1,0.8081,42.83,49.881,0.6957,0.16,12.16,Afternoon,Production
ENG-000111,2024-01-05 14:00:25,Plant-A,LINE-5,MCH-009,180.678,12.744,86.87,258.0,167.61,250.79,0.8886,39.18,63.686,0.6908,0.08,8.56,Morning,Production
ENG-000112,2024-01-05 15:00:08,Plant-A,LINE-2,MCH-014,123.961,5.349,49.93,676.7,145.11,204.06,0.9696,32.71,35.562,0.4454,0.13,10.3,Night,Production
ENG-000113,2024-01-05 16:00:07,Plant-C,LINE-6,MCH-009,147.566,15.361,48.57,383.8,237.87,124.88,0.9049,17.07,70.154,1.0507,0.13,14.73,Afternoon,Standby
ENG-000114,2024-01-05 17:00:09,Plant-A,LINE-2,MCH-049,161.288,15.126,64.38,494.3,226.4,233.8,0.8882,29.89,38.774,1.0298,0.13,22.67,Night,Production
ENG-000115,2024-01-05 18:00:26,Plant-A,LINE-2,MCH-021,105.816,17.734,80.2,631.3,189.94,220.62,0.9013,19.15,81.551,1.0759,0.13,10.43,Afternoon,Production
ENG-000116,2024-01-05 19:00:18,Plant-A,LINE-6,MCH-043,205.473,17.312,101.21,316.4,153.47,148.98,0.8771,38.36,61.511,1.1082,0.13,9.14,Morning,Production
ENG-000117,2024-01-05 20:00:20,Plant-A,LINE-1,MCH-035,149.828,21.162,106.35,269.8,147.78,195.92,1.0,38.46,54.051,0.674,0.16,5.88,Afternoon,Idle
ENG-000118,2024-01-05 21:00:09,Plant-A,LINE-7,MCH-046,119.681,6.105,81.5,544.7,324.27,112.69,0.8997,43.25,66.546,1.0007,0.13,10.46,Morning,Production
ENG-000119,2024-01-05 22:00:24,Plant-C,LINE-8,MCH-041,146.94,25.899,59.24,563.7,270.23,161.8,0.9073,16.11,71.303,0.6264,0.1,12.78,Afternoon,Production
ENG-000120,2024-01-05 23:00:21,Plant-B,LINE-9,MCH-001,141.1,10.465,114.78,558.3,195.52,129.16,0.949,34.94,84.315,0.7294,0.13,13.6,Afternoon,Production
ENG-000121,2024-01-06 00:00:13,Plant-A,LINE-4,MCH-002,99.063,17.897,47.27,324.9,216.01,147.02,0.9592,33.83,62.916,1.0684,0.08,18.15,Night,Production
ENG-000122,2024-01-06 01:00:10,Plant-A,LINE-8,MCH-020,134.399,10.698,92.6,464.3,261.74,217.14,0.9636,29.7,41.997,0.6478,0.1,17.41,Morning,Production
ENG-000123,2024-01-06 02:00:04,Plant-A,LINE-4,MCH-030,119.159,19.135,99.2,730.2,291.42,158.2,0.9173,36.02,38.415,1.1822,0.16,3.65,Afternoon,Maintenance
ENG-000124,2024-01-06 03:00:29,Plant-A,LINE-5,MCH-009,83.897,9.93,62.09,456.7,246.17,238.91,0.8638,37.54,43.198,1.0585,0.16,19.57,Afternoon,Idle
ENG-000125,2024-01-06 04:00:13,Plant-A,LINE-4,MCH-035,118.515,22.276,57.8,535.7,135.37,150.17,0.978,24.15,45.266,1.3263,0.1,16.0,Night,Production
ENG-000126,2024-01-06 05:00:21,Plant-C,LINE-5,MCH-041,95.676,19.068,96.88,592.8,190.89,210.7,0.9323,42.25,52.772,0.7354,0.13,7.68,Night,Maintenance
ENG-000127,2024-01-06 06:00:21,Plant-B,LINE-9,MCH-044,97.814,13.547,95.39,358.8,215.87,160.12,0.848,17.95,58.1,0.7645,0.13,13.8,Night,Idle
ENG-000128,2024-01-06 07:00:29,Plant-B,LINE-9,MCH-034,91.197,19.112,80.09,519.3,246.23,149.13,0.9405,36.27,84.848,0.7361,0.1,11.3,Morning,Production
ENG-000129,2024-01-06 08:00:11,Plant-C,LINE-9,MCH-044,144.175,18.437,79.3,576.9,184.78,157.39,1.0,37.53,81.021,0.9626,0.13,21.8,Afternoon,Production
ENG-000130,2024-01-06 09:00:01,Plant-A,LINE-1,MCH-014,104.021,19.756,110.86,54.6,191.27,171.0,0.8955,38.1,71.452,0.6371,0.08,24.2,Afternoon,Production
ENG-000131,2024-01-06 10:00:27,Plant-C,LINE-7,MCH-047,141.856,22.484,77.96,264.8,228.28,99.3,0.9032,37.14,68.281,0.8662,0.1,22.91,Night,Production
ENG-000132,2024-01-06 11:00:10,Plant-B,LINE-9,MCH-031,110.388,6.672,90.51,702.0,84.92,176.17,0.9662,27.81,42.224,0.5109,0.1,16.95,Night,Standby
ENG-000133,2024-01-06 12:00:06,Plant-C,LINE-1,MCH-008,110.714,18.029,86.07,402.6,215.22,217.87,0.9369,38.94,88.575,0.842,0.1,18.57,Afternoon,Production
ENG-000134,2024-01-06 13:00:09,Plant-A,LINE-9,MCH-007,128.251,13.88,78.95,855.8,294.91,152.49,0.9444,38.93,93.113,0.8612,0.13,11.14,Morning,Idle
ENG-000135,2024-01-06 14:00:15,Plant-C,LINE-9,MCH-025,92.828,20.107,81.55,499.5,294.4,183.87,0.898,39.29,68.763,0.8252,0.16,10.78,Night,Standby
ENG-000136,2024-01-06 15:00:28,Plant-B,LINE-4,MCH-036,57.545,12.716,69.87,535.9,165.13,176.63,0.9668,35.32,66.218,0.5639,0.08,10.66,Night,Production
ENG-000137,2024-01-06 16:00:15,Plant-B,LINE-1,MCH-043,121.461,7.062,86.13,390.5,294.02,138.84,0.8872,45.98,66.573,0.9956,0.16,6.2,Afternoon,Production
ENG-000138,2024-01-06 17:00:21,Plant-C,LINE-10,MCH-033,172.424,19.006,80.93,482.3,124.24,189.62,0.866,29.81,59.179,0.6967,0.08,10.91,Night,Idle
ENG-000139,2024-01-06 18:00:27,Plant-C,LINE-5,MCH-009,79.287,14.859,63.6,574.1,229.92,169.99,0.9594,26.68,82.107,1.0179,0.08,10.78,Afternoon,Production
ENG-000140,2024-01-06 19:00:08,Plant-A,LINE-6,MCH-038,64.095,22.069,65.82,370.4,272.11,243.43,0.9132,21.76,47.828,0.7593,0.08,17.0,Night,Production
ENG-000141,2024-01-06 20:00:02,Plant-C,LINE-5,MCH-031,131.649,19.276,57.21,491.1,243.84,207.14,0.9688,33.07,48.677,0.7481,0.16,10.86,Night,Idle
ENG-000142,2024-01-06 21:00:02,Plant-A,LINE-4,MCH-024,137.494,14.306,26.26,462.7,111.21,219.53,0.8829,16.91,76.246,0.6141,0.08,6.51,Night,Maintenance
ENG-000143,2024-01-06 22:00:13,Plant-C,LINE-7,MCH-024,106.487,9.415,98.78,608.1,260.62,231.1,1.0,34.06,54.466,0.8809,0.16,12.18,Night,Production
