record_id,date,shift,plant,department,worker_id,worker_experience_years,incident_type,hazard_type,severity,lost_days,ppe_worn,training_completed,noise_level_dB,heat_stress_index,air_quality_AQI,ergonomic_risk_score,near_miss_count,corrective_action,root_cause
SAF-000047,2024-08-02,Night,Plant-C,Machining,W-0081,3.9,Medical Treatment,Electrical,None,0,Full,Yes,84.3,24.5,149,4.3,0,None,N/A
SAF-000048,2024-01-01,Night,Plant-A,Packaging,W-0102,7.3,No Incident,None,None,0,Full,Yes,71.1,34.2,137,8.6,4,Equipment Fix,N/A
SAF-000049,2024-02-13,Night,Plant-B,Painting,W-0197,0.2,No Incident,Electrical,None,0,Full,Yes,69.5,38.0,25,3.2,4,Equipment Fix,N/A
SAF-000050,2024-08-24,Morning,Plant-B,Maintenance,W-0122,0.3,No Incident,Chemical,None,0,Full,Yes,84.9,38.3,73,1.1,1,Equipment Fix,N/A
SAF-000051,2024-11-18,Afternoon,Plant-B,Machining,W-0158,2.7,Medical Treatment,None,None,16,Full,Yes,93.1,16.3,184,6.4,4,Procedure Update,N/A
SAF-000052,2024-08-17,Morning,Plant-A,Quality,W-0017,2.8,No Incident,Caught In,None,0,Partial,Yes,97.0,35.0,93,9.3,3,None,Equipment Failure
SAF-000053,2024-03-29,Morning,Plant-C,Welding,W-0105,6.5,No Incident,None,None,30,Full,Yes,59.3,24.8,29,8.3,3,Training,N/A
SAF-000054,2024-08-01,Morning,Plant-A,Logistics,W-0125,0.2,Near Miss,None,None,0,Full,Yes,77.3,33.9,144,7.9,0,None,N/A
SAF-000055,2024-06-24,Afternoon,Plant-B,Packaging,W-0047,6.2,No Incident,None,None,0,Partial,Yes,85.4,27.0,75,3.2,3,Procedure Update,N/A
SAF-000056,2024-06-20,Morning,Plant-C,Welding,W-0004,4.4,No Incident,Chemical,None,0,Full,Yes,59.5,47.3,146,3.2,1,None,Procedural
SAF-000057,2024-09-15,Night,Plant-C,Logistics,W-0063,1.9,No Incident,None,High,0,Full,Yes,67.4,34.9,82,6.2,0,Procedure Update,N/A
SAF-000058,2024-02-04,Morning,Plant-B,Assembly,W-0049,1.0,Medical Treatment,None,None,0,Full,No,84.5,27.8,65,5.3,2,PPE Upgrade,N/A
SAF-000059,2024-04-14,Afternoon,Plant-A,Packaging,W-0129,16.1,No Incident,None,None,0,Full,Yes,73.0,36.5,60,5.7,4,None,N/A
SAF-000060,2024-03-06,Morning,Plant-A,Logistics,W-0124,0.9,No Incident,Electrical,None,0,Full,No,77.0,26.0,133,9.6,1,None,N/A
SAF-000061,2024-08-10,Afternoon,Plant-C,Machining,W-0151,1.4,First Aid,None,None,18,Full,No,84.7,24.2,50,6.7,2,None,N/A
SAF-000062,2024-02-20,Night,Plant-B,Quality,W-0045,3.9,No Incident,Struck By,None,0,Full,Yes,67.3,15.3,87,5.7,4,Procedure Update,Human Error
SAF-000063,2024-04-07,Morning,Plant-B,Welding,W-0166,12.4,No Incident,None,None,0,Full,Yes,60.5,33.0,31,3.9,4,PPE Upgrade,Human Error
SAF-000064,2024-06-20,Morning,Plant-C,Machining,W-0188,2.3,No Incident,None,None,4,Partial,Yes,66.4,31.3,193,6.4,3,None,N/A
SAF-000065,2024-12-01,Morning,Plant-B,Painting,W-0022,1.1,No Incident,Noise,None,25,Full,Yes,74.2,25.7,184,4.2,1,None,N/A
SAF-000066,2024-05-13,Night,Plant-C,Quality,W-0164,2.2,No Incident,None,None,0,Partial,Yes,60.8,36.0,67,8.2,0,Training,N/A
SAF-000067,2024-03-10,Afternoon,Plant-A,Logistics,W-0175,3.6,No Incident,None,None,0,Partial,No,91.5,35.1,146,9.2,2,None,N/A
SAF-000068,2024-08-19,Morning,Plant-C,Welding,W-0157,3.0,No Incident,None,Critical,12,Full,Yes,72.4,34.4,48,8.3,4,None,N/A
SAF-000069,2024-01-03,Night,Plant-C,Painting,W-0132,0.5,No Incident,Ergonomic,None,0,Partial,Yes,73.0,26.7,174,7.0,4,Procedure Update,N/A
SAF-000070,2024-02-12,Morning,Plant-B,Assembly,W-0147,3.9,No Incident,Ergonomic,Low,0,Full,Yes,77.9,42.4,112,5.9,3,None,N/A
SAF-000071,2024-12-09,Morning,Plant-A,Maintenance,W-0066,0.5,First Aid,Fall,None,0,Full,Yes,92.7,15.2,100,8.0,1,None,Procedural
SAF-000072,2024-10-09,Morning,Plant-B,Painting,W-0112,5.5,No Incident,None,None,0,Full,Yes,71.8,38.9,73,2.6,0,Training,Human Error
SAF-000073,2024-03-06,Afternoon,Plant-C,Machining,W-0160,1.7,No Incident,Ergonomic,None,0,Full,Yes,77.2,16.2,68,5.9,1,PPE Upgrade,Human Error
SAF-000074,2024-04-19,Night,Plant-B,Logistics,W-0053,0.2,No Incident,None,None,0,Full,Yes,79.4,43.3,145,9.2,4,Equipment Fix,N/A
SAF-000075,2024-04-13,Afternoon,Plant-A,Logistics,W-0070,12.8,No Incident,Caught In,None,0,Full,No,76.2,22.7,156,1.4,2,None,Equipment Failure
SAF-000076,2024-11-26,Night,Plant-A,Painting,W-0039,4.3,No Incident,Ergonomic,None,0,Full,Yes,71.6,25.2,173,6.9,3,Training,Procedural
SAF-000077,2024-03-08,Morning,Plant-C,Logistics,W-0191,0.9,No Incident,None,None,0,Full,No,66.6,10.0,58,8.0,0,Procedure Update,N/A
SAF-000078,2024-11-25,Night,Plant-C,Quality,W-0133,14.6,No Incident,None,None,0,Full,No,83.5,30.2,58,7.3,0,None,Procedural
SAF-000079,2024-11-17,Morning,Plant-A,Packaging,W-0044,3.5,No Incident,None,None,5,Full,Yes,75.5,20.5,28,1.4,1,Procedure Update,N/A
SAF-000080,2024-01-30,Night,Plant-B,Maintenance,W-0148,1.4,No Incident,Struck By,None,0,Partial,Yes,66.5,36.8,108,1.7,1,None,N/A
SAF-000081,2024-01-27,Afternoon,Plant-A,Quality,W-0044,6.2,Near Miss,Caught In,None,1,Partial,Yes,71.0,31.9,127,7.2,0,None,Procedural
SAF-000082,2024-03-26,Morning,Plant-A,Logistics,W-0131,5.8,No Incident,None,High,0,Full,Yes,102.1,18.8,59,2.4,4,Training,N/A
SAF-000083,2024-06-15,Night,Plant-C,Welding,W-0113,5.4,No Incident,Electrical,None,0,Full,Yes,75.7,33.1,106,8.5,4,None,Human Error
SAF-000084,2024-12-16,Morning,Plant-A,Quality,W-0025,13.9,No Incident,Caught In,None,0,Full,Yes,86.6,37.4,54,1.2,4,Equipment Fix,N/A
SAF-000085,2024-04-24,Afternoon,Plant-A,Welding,W-0047,7.2,No Incident,Fall,None,0,Full,Yes,60.5,27.7,198,2.7,4,Procedure Update,N/A
SAF-000086,2024-01-23,Afternoon,Plant-A,Packaging,W-0074,2.0,No Incident,Fall,None,0,Full,Yes,90.8,31.8,134,6.6,2,Procedure Update,N/A
SAF-000087,2024-05-21,Night,Plant-B,Maintenance,W-0176,1.7,Near Miss,Struck By,Medium,0,Partial,Yes,83.8,35.9,118,8.8,3,PPE Upgrade,N/A
SAF-000088,2024-07-23,Night,Plant-B,Painting,W-0038,2.8,No Incident,Electrical,Medium,0,Full,Yes,92.9,27.5,73,8.6,0,Equipment Fix,N/A
SAF-000089,2024-08-29,Afternoon,Plant-C,Assembly,W-0052,6.5,No Incident,None,Low,0,Full,Yes,69.3,15.4,46,2.0,2,None,N/A
SAF-000090,2024-06-07,Morning,Plant-C,Welding,W-0037,10.3,No Incident,Ergonomic,None,11,Full,Yes,76.5,17.6,134,3.4,3,None,Equipment Failure
SAF-000091,2024-01-09,Night,Plant-C,Assembly,W-0033,2.1,No Incident,Noise,None,0,Full,Yes,67.5,33.8,196,9.2,2,Equipment Fix,N/A
SAF-000092,2024-08-20,Night,Plant-A,Machining,W-0146,9.3,No Incident,Thermal,None,0,Full,Yes,62.8,27.5,76,4.0,3,None,N/A
SAF-000093,2024-02-18,Morning,Plant-C,Quality,W-0033,5.8,No Incident,Noise,None,0,Full,No,80.3,25.1,53,5.0,4,None,N/A
SAF-000094,2024-10-05,Morning,Plant-A,Packaging,W-0160,3.4,No Incident,Electrical,None,0,Full,Yes,76.7,30.9,70,4.9,0,None,N/A
SAF-000095,2024-07-09,Afternoon,Plant-B,Welding,W-0196,1.9,No Incident,None,None,6,Full,Yes,85.7,29.1,87,8.9,3,None,Human Error
SAF-000096,2024-04-22,Night,Plant-B,Packaging,W-0197,1.3,No Incident,None,None,0,Full,No,79.7,21.4,169,5.9,1,None,N/A
SAF-000097,2024-04-29,Morning,Plant-A,Packaging,W-0190,6.1,Near Miss,Noise,None,11,Full,Yes,72.9,30.2,98,7.4,0,None,N/A
SAF-000098,2024-02-27,Afternoon,Plant-B,Painting,W-0067,19.9,No Incident,None,None,17,Full,No,70.8,22.2,147,4.3,0,None,N/A
SAF-000099,2024-02-09,Morning,Plant-C,Welding,W-0095,4.4,No Incident,None,None,0,Full,Yes,88.4,22.1,151,8.1,1,None,N/A
SAF-000100,2024-06-23,Night,Plant-B,Assembly,W-0177,1.1,No Incident,None,High,27,Full,Yes,72.3,34.2,109,1.3,1,None,N/A
SAF-000101,2024-07-25,Morning,Plant-B,Quality,W-0068,8.1,No Incident,None,None,3,Full,Yes,63.2,17.7,35,5.6,4,None,N/A
SAF-000102,2024-05-31,Morning,Plant-C,Assembly,W-0106,0.1,Near Miss,Noise,None,0,None,Yes,76.3,25.2,112,4.4,1,None,Equipment Failure
SAF-000103,2024-12-22,Night,Plant-A,Painting,W-0071,6.9,No Incident,None,None,0,Full,Yes,81.9,28.1,186,1.6,2,Equipment Fix,N/A
SAF-000104,2024-09-16,Morning,Plant-C,Painting,W-0175,1.0,No Incident,Struck By,Medium,0,Full,Yes,66.7,31.3,191,8.9,4,Equipment Fix,N/A
SAF-000105,2024-04-22,Morning,Plant-A,Painting,W-0061,0.8,No Incident,None,Critical,0,Full,Yes,60.5,29.0,185,3.2,2,Equipment Fix,Procedural
SAF-000106,2024-06-14,Night,Plant-A,Maintenance,W-0039,9.3,No Incident,None,None,14,Partial,Yes,81.7,35.3,86,2.1,1,Procedure Update,N/A
SAF-000107,2024-07-31,Morning,Plant-A,Welding,W-0114,0.8,No Incident,None,None,0,Full,No,79.5,19.3,51,8.5,3,Equipment Fix,N/A
SAF-000108,2024-03-31,Afternoon,Plant-B,Assembly,W-0104,3.1,No Incident,None,None,0,Partial,No,74.5,34.2,164,1.1,1,None,N/A
SAF-000109,2024-10-11,Night,Plant-B,Quality,W-0044,1.0,No Incident,None,None,0,Full,Yes,94.5,29.5,69,9.8,0,Training,N/A
SAF-000110,2024-08-23,Night,Plant-B,Quality,W-0139,1.6,No Incident,None,Medium,30,Full,No,66.8,27.9,149,2.9,3,Equipment Fix,N/A
SAF-000111,2024-06-22,Night,Plant-B,Logistics,W-0012,0.5,Lost Time,Thermal,None,0,None,Yes,75.3,27.9,68,8.3,2,None,N/A
SAF-000112,2024-04-08,Afternoon,Plant-A,Painting,W-0030,6.1,Property Damage,None,None,0,Full,No,80.2,10.0,57,8.2,1,PPE Upgrade,Environmental
SAF-000113,2024-12-17,Morning,Plant-B,Machining,W-0158,12.6,No Incident,None,None,0,Full,No,73.4,22.8,39,9.6,2,Procedure Update,Human Error
SAF-000114,2024-02-24,Afternoon,Plant-A,Welding,W-0157,1.1,No Incident,Electrical,None,0,Partial,No,81.3,36.7,180,5.1,3,Training,N/A
SAF-000115,2024-09-17,Morning,Plant-A,Logistics,W-0027,13.8,No Incident,Electrical,None,0,Full,Yes,100.4,24.9,56,5.8,1,Equipment Fix,N/A
SAF-000116,2024-05-12,Afternoon,Plant-A,Assembly,W-0040,2.1,Near Miss,None,None,11,Partial,Yes,89.6,27.2,53,9.8,3,Equipment Fix,Unknown
SAF-000117,2024-10-04,Afternoon,Plant-B,Packaging,W-0144,9.5,No Incident,Electrical,None,0,Full,No,63.3,33.5,31,4.7,2,Procedure Update,N/A
SAF-000118,2024-05-01,Night,Plant-C,Machining,W-0039,6.7,Near Miss,Noise,None,0,Partial,Yes,56.3,27.2,21,4.3,2,Procedure Update,Human Error
SAF-000119,2024-05-01,Night,Plant-B,Maintenance,W-0015,5.0,No Incident,None,None,12,Partial,Yes,73.9,28.3,142,9.0,1,None,Human Error
SAF-000120,2024-07-12,Night,Plant-A,Machining,W-0144,2.3,No Incident,None,None,0,Full,No,90.1,12.2,54,5.4,2,None,Human Error
SAF-000121,2024-05-27,Morning,Plant-C,Maintenance,W-0031,0.1,Property Damage,Chemical,None,0,Full,Yes,73.9,23.8,28,9.4,2,None,Human Error
SAF-000122,2024-10-15,Afternoon,Plant-C,Machining,W-0176,3.9,No Incident,None,None,0,Full,Yes,64.3,33.2,187,5.9,4,Equipment Fix,N/A
SAF-000123,2024-03-18,Morning,Plant-A,Assembly,W-0007,13.2,No Incident,None,None,0,Full,Yes,83.7,35.4,69,4.2,2,None,N/A
SAF-000124,2024-02-26,Morning,Plant-A,Maintenance,W-0124,2.1,No Incident,None,None,3,Full,No,56.5,15.4,162,8.2,1,Equipment Fix,N/A
SAF-000125,2024-06-25,Morning,Plant-A,Quality,W-0140,7.6,No Incident,Ergonomic,None,0,Full,Yes,88.4,30.9,155,1.7,4,Training,N/A
SAF-000126,2024-03-17,Night,Plant-A,Welding,W-0116,0.6,No Incident,None,None,0,Full,Yes,70.8,30.3,92,2.5,1,None,N/A
SAF-000127,2024-12-26,Morning,Plant-B,Packaging,W-0085,17.1,No Incident,None,High,0,Full,Yes,68.7,19.9,189,7.1,4,None,Human Error
SAF-000128,2024-10-27,Afternoon,Plant-A,Packaging,W-0123,0.5,No Incident,None,Medium,0,Full,Yes,69.6,28.7,109,2.4,4,None,N/A
SAF-000129,2024-07-31,Morning,Plant-B,Machining,W-0117,9.2,No Incident,None,None,0,Full,No,73.2,35.3,42,1.8,1,None,N/A
SAF-000130,2024-05-09,Night,Plant-B,Packaging,W-0192,0.3,Near Miss,Ergonomic,None,0,Full,Yes,65.9,32.1,77,7.3,0,Equipment Fix,N/A
SAF-000131,2024-07-05,Night,Plant-B,Packaging,W-0099,2.8,No Incident,Electrical,None,10,Full,Yes,85.1,39.9,199,4.8,1,Equipment Fix,N/A
SAF-000132,2024-09-23,Afternoon,Plant-C,Welding,W-0070,3.0,Near Miss,Ergonomic,None,6,Full,No,78.0,25.1,107,3.5,4,None,N/A
SAF-000133,2024-08-27,Afternoon,Plant-A,Packaging,W-0170,9.2,No Incident,Chemical,None,7,Full,Yes,55.7,13.1,29,4.6,3,Procedure Update,N/A
SAF-000134,2024-02-02,Afternoon,Plant-A,Maintenance,W-0012,6.7,No Incident,Struck By,High,0,Full,Yes,86.3,36.5,72,2.4,2,None,N/A
SAF-000135,2024-07-12,Night,Plant-C,Maintenance,W-0026,4.4,No Incident,Caught In,None,6,Full,Yes,66.4,27.7,56,9.7,1,Procedure Update,N/A
SAF-000136,2024-07-15,Afternoon,Plant-A,Painting,W-0147,3.0,No Incident,Noise,None,0,Full,Yes,66.8,33.2,159,1.7,1,Equipment Fix,N/A
SAF-000137,2024-04-09,Night,Plant-A,Assembly,W-0151,4.1,First Aid,Electrical,Low,0,Full,Yes,68.0,29.3,134,4.9,4,PPE Upgrade,Procedural
SAF-000138,2024-11-28,Night,Plant-B,Logistics,W-0044,0.5,No Incident,None,None,30,Partial,Yes,77.7,22.1,116,2.5,2,None,N/A
SAF-000139,2024-11-09,Afternoon,Plant-A,Packaging,W-0184,1.9,No Incident,None,None,2,Full,Yes,81.8,35.8,133,8.1,1,None,N/A
SAF-000140,2024-04-17,Night,Plant-C,Machining,W-0097,5.6,Near Miss,Struck By,None,0,Full,Yes,76.1,44.0,79,2.6,1,Procedure Update,N/A
SAF-000141,2024-01-25,Afternoon,Plant-C,Quality,W-0125,0.3,No Incident,Thermal,None,0,Full,Yes,87.8,26.9,75,2.7,0,None,N/A
SAF-000142,2024-04-16,Night,Plant-A,Welding,W-0081,7.0,No Incident,Struck By,None,0,Full,Yes,84.3,17.2,116,7.0,0,Training,N/A
SAF-000143,2024-03-08,Afternoon,Plant-C,Maintenance,W-0129,0.7,No Incident,Thermal,None,0,Full,Yes,61.4,34.9,116,6.4,1,Procedure Update,N/A
SAF-000144,2024-03-23,Morning,Plant-A,Painting,W-0006,0.7,No Incident,Caught In,None,0,Partial,Yes,74.8,19.3,70,5.6,2,Procedure Update,N/A
SAF-000145,2024-02-19,Afternoon,Plant-C,Logistics,W-0027,0.2,No Incident,None,None,15,Full,Yes,83.9,17.1,142,7.5,0,Training,N/A
SAF-000146,2024-08-10,Morning,Plant-A,Maintenance,W-0030,2.5,First Aid,Fall,None,29,Full,Yes,86.2,14.3,29,6.0,0,Procedure Update,N/A
SAF-000147,2024-10-09,Morning,Plant-A,Welding,W-0027,7.8,First Aid,Struck By,None,0,Full,Yes,50.0,27.1,178,8.5,4,PPE Upgrade,N/A
SAF-000148,2024-09-19,Afternoon,Plant-B,Painting,W-0010,1.7,No Incident,Fall,None,0,Full,Yes,96.7,35.7,73,4.9,3,PPE Upgrade,Environmental
SAF-000149,2024-01-24,Morning,Plant-A,Machining,W-0117,5.6,No Incident,Fall,None,0,Full,Yes,82.8,27.3,31,6.1,0,None,N/A
SAF-000150,2024-08-26,Morning,Plant-B,Packaging,W-0085,1.3,No Incident,Electrical,None,0,Full,Yes,64.2,31.8,128,4.5,4,Procedure Update,N/A
SAF-000151,2024-01-02,Morning,Plant-C,Welding,W-0004,9.4,No Incident,None,None,0,Full,Yes,60.1,34.1,34,1.5,3,Procedure Update,N/A
SAF-000152,2024-02-18,Night,Plant-C,Maintenance,W-0178,1.4,No Incident,None,None,0,Full,Yes,86.9,19.9,174,6.4,4,None,N/A
SAF-000153,2024-09-19,Morning,Plant-A,Logistics,W-0174,1.5,No Incident,Chemical,None,22,Full,Yes,74.5,24.5,45,4.2,3,PPE Upgrade,N/A
SAF-000154,2024-03-20,Afternoon,Plant-C,Maintenance,W-0021,10.2,No Incident,Electrical,None,0,Full,No,89.0,30.7,107,2.9,2,Training,Human Error
SAF-000155,2024-02-12,Afternoon,Plant-B,Assembly,W-0094,3.3,No Incident,Ergonomic,None,0,Full,Yes,74.9,30.1,52,4.4,4,None,N/A
SAF-000156,2024-12-24,Morning,Plant-A,Assembly,W-0140,5.4,Property Damage,Struck By,Medium,0,Full,Yes,72.4,37.3,142,9.5,2,Equipment Fix,Human Error
SAF-000157,2024-06-20,Morning,Plant-B,Painting,W-0096,2.4,No Incident,None,None,0,Full,No,87.3,29.9,184,4.5,3,None,N/A
SAF-000158,2024-06-21,Afternoon,Plant-B,Machining,W-0024,2.2,No Incident,None,None,0,Full,Yes,95.2,32.1,182,3.8,2,Equipment Fix,N/A
SAF-000159,2024-09-07,Morning,Plant-C,Packaging,W-0020,0.0,No Incident,Fall,None,18,Full,Yes,102.0,11.4,151,9.5,1,None,Human Error
SAF-000160,2024-05-14,Afternoon,Plant-B,Welding,W-0144,0.1,No Incident,Caught In,None,0,Full,Yes,73.8,36.4,99,9.1,0,Equipment Fix,Equipment Failure
SAF-000161,2024-12-10,Night,Plant-C,Maintenance,W-0037,4.4,No Incident,None,None,12,Partial,No,57.4,31.4,75,8.1,0,PPE Upgrade,Equipment Failure
SAF-000162,2024-02-14,Morning,Plant-B,Painting,W-0151,2.8,No Incident,Noise,None,0,Full,Yes,55.8,30.5,140,4.3,0,Training,Human Error
SAF-000163,2024-03-09,Afternoon,Plant-A,Maintenance,W-0041,4.9,No Incident,Electrical,None,0,Full,Yes,59.9,36.5,154,5.0,3,None,Human Error
SAF-000164,2024-07-07,Afternoon,Plant-A,Packaging,W-0052,1.0,No Incident,Chemical,None,0,Full,Yes,73.3,25.9,107,2.4,3,Training,Procedural
SAF-000165,2024-02-21,Afternoon,Plant-A,Welding,W-0106,1.8,No Incident,Ergonomic,None,0,Full,Yes,81.6,18.3,155,6.4,0,Training,N/A
SAF-000166,2024-04-01,Morning,Plant-C,Machining,W-0003,6.1,No Incident,None,None,0,Full,Yes,87.2,34.1,74,9.5,4,Training,N/A
