inspection_id,timestamp,batch_id,product_id,production_line,inspector_id,inspection_method,sample_size,defects_found,defect_type,dimension_mm,tolerance_upper_mm,tolerance_lower_mm,hardness_HRC,surface_roughness_Ra,weight_g,pass_fail,disposition,cpk,notes
QI-000011,2024-01-01 00:20:14,BATCH-0009812,PROD-015,LINE-6,QI-002,Ultrasonic,22,7,Porosity,50.305,50.5,49.5,58.5,0.231,259.67,Pass,Accept,1.566,Within spec
QI-000012,2024-01-01 00:22:04,BATCH-0003320,PROD-024,LINE-3,QI-012,Ultrasonic,88,4,Missing Feature,50.4475,50.5,49.5,58.3,0.269,258.96,Pass,Accept,1.812,Critical failure
QI-000013,2024-01-01 00:24:05,BATCH-0002953,PROD-011,LINE-6,QI-011,X-Ray,72,7,Scratch,50.3398,50.5,49.5,60.4,0.629,252.05,Pass,Accept,1.675,Minor deviation
QI-000014,2024-01-01 00:26:12,BATCH-0003948,PROD-010,LINE-4,QI-004,X-Ray,56,1,NONE,49.7449,50.5,49.5,53.4,0.456,250.55,Pass,Scrap,2.026,Within spec
QI-000015,2024-01-01 00:28:21,BATCH-0005980,PROD-001,LINE-10,QI-001,X-Ray,47,9,Surface Finish,49.3718,50.5,49.5,55.9,1.54,249.22,Pass,Accept,1.619,OK
QI-000016,2024-01-01 00:30:18,BATCH-0003075,PROD-012,LINE-2,QI-018,CMM,82,7,NONE,49.7548,50.5,49.5,58.9,0.2,243.33,Pass,Accept,1.252,OK
QI-000017,2024-01-01 00:32:06,BATCH-0009411,PROD-005,LINE-4,QI-006,X-Ray,51,14,Burr,50.101,50.5,49.5,51.8,0.2,252.32,Pass,Accept,1.654,Minor deviation
QI-000018,2024-01-01 00:34:09,BATCH-0003763,PROD-009,LINE-3,QI-009,CMM,32,2,Crack,50.3985,50.5,49.5,58.4,0.23,250.61,Fail,Accept,1.822,Within spec
QI-000019,2024-01-01 00:36:16,BATCH-0003791,PROD-010,LINE-6,QI-016,Visual,43,10,Missing Feature,50.3795,50.5,49.5,56.9,0.51,253.11,Pass,Accept,1.923,Needs rework
QI-000020,2024-01-01 00:38:10,BATCH-0000274,PROD-002,LINE-6,QI-012,Manual Gauge,72,10,Contamination,50.6683,50.5,49.5,56.1,0.492,255.97,Pass,Accept,1.463,Within spec
QI-000021,2024-01-01 00:40:08,BATCH-0006072,PROD-021,LINE-2,QI-018,X-Ray,32,8,Burr,49.9564,50.5,49.5,60.2,0.2,255.0,Pass,Accept,1.666,Minor deviation
QI-000022,2024-01-01 00:42:30,BATCH-0004467,PROD-024,LINE-3,QI-001,Ultrasonic,31,12,Dimensional,50.2832,50.5,49.5,57.3,2.946,257.34,Pass,Accept,1.427,Needs rework
QI-000023,2024-01-01 00:44:21,BATCH-0008680,PROD-007,LINE-10,QI-011,X-Ray,43,11,Porosity,49.9362,50.5,49.5,55.7,2.532,258.46,Pass,Accept,1.483,Within spec
QI-000024,2024-01-01 00:46:00,BATCH-0004619,PROD-019,LINE-7,QI-003,X-Ray,57,0,NONE,50.6727,50.5,49.5,57.2,2.262,243.89,Pass,Accept,1.537,Needs rework
QI-000025,2024-01-01 00:48:24,BATCH-0009548,PROD-016,LINE-7,QI-017,Laser Scan,42,5,NONE,49.452,50.5,49.5,55.8,0.2,253.6,Pass,Scrap,1.589,Within spec
QI-000026,2024-01-01 00:50:06,BATCH-0005238,PROD-012,LINE-5,QI-009,Visual,79,14,NONE,49.0085,50.5,49.5,62.1,1.38,247.11,Pass,Accept,1.659,Minor deviation
QI-000027,2024-01-01 00:52:18,BATCH-0001342,PROD-024,LINE-1,QI-004,X-Ray,46,7,Crack,50.0273,50.5,49.5,59.0,1.458,253.24,Pass,Rework,1.565,Minor deviation
QI-000028,2024-01-01 00:54:00,BATCH-0006859,PROD-010,LINE-10,QI-017,X-Ray,7,0,NONE,49.922,50.5,49.5,62.6,0.489,251.88,Pass,Accept,1.446,Critical failure
QI-000029,2024-01-01 00:56:19,BATCH-0005421,PROD-018,LINE-10,QI-017,Ultrasonic,16,13,Dimensional,49.2935,50.5,49.5,58.1,0.2,248.38,Pass,Scrap,1.367,Minor deviation
QI-000030,2024-01-01 00:58:16,BATCH-0007751,PROD-013,LINE-9,QI-009,CMM,31,12,Scratch,49.789,50.5,49.5,64.1,0.811,241.28,Pass,Accept,1.823,Within spec
QI-000031,2024-01-01 01:00:08,BATCH-0000919,PROD-006,LINE-3,QI-010,Ultrasonic,50,8,NONE,50.4995,50.5,49.5,54.1,0.229,253.7,Pass,Accept,1.658,OK
QI-000032,2024-01-01 01:02:30,BATCH-0007248,PROD-022,LINE-7,QI-004,Laser Scan,65,2,NONE,50.1225,50.5,49.5,57.6,1.378,250.45,Pass,Accept,1.188,Needs rework
QI-000033,2024-01-01 01:04:21,BATCH-0009531,PROD-019,LINE-7,QI-005,Manual Gauge,97,3,Contamination,50.0515,50.5,49.5,61.0,1.634,254.92,Pass,Accept,1.029,Critical failure
QI-000034,2024-01-01 01:06:12,BATCH-0004863,PROD-021,LINE-2,QI-018,CMM,81,12,Dimensional,50.0768,50.5,49.5,58.1,3.286,251.9,Pass,Accept,2.204,Needs rework
QI-000035,2024-01-01 01:08:16,BATCH-0003086,PROD-024,LINE-10,QI-003,CMM,58,4,NONE,50.6056,50.5,49.5,50.1,0.726,240.65,Pass,Accept,1.247,Needs rework
QI-000036,2024-01-01 01:10:27,BATCH-0002381,PROD-023,LINE-7,QI-011,Manual Gauge,62,10,Burr,49.3956,50.5,49.5,57.5,0.2,247.06,Pass,Accept,1.364,Within spec
QI-000037,2024-01-01 01:12:11,BATCH-0001774,PROD-001,LINE-8,QI-002,Visual,13,8,Surface Finish,50.1761,50.5,49.5,55.3,1.03,247.25,Pass,Accept,1.885,Needs rework
QI-000038,2024-01-01 01:14:23,BATCH-0008651,PROD-017,LINE-9,QI-013,Visual,47,4,Scratch,49.6145,50.5,49.5,53.6,0.835,244.4,Pass,Accept,1.743,Critical failure
QI-000039,2024-01-01 01:16:13,BATCH-0003723,PROD-010,LINE-2,QI-006,Visual,97,10,Burr,49.9046,50.5,49.5,55.9,2.137,251.3,Pass,Accept,1.441,Within spec
QI-000040,2024-01-01 01:18:00,BATCH-0000526,PROD-009,LINE-3,QI-003,X-Ray,27,13,NONE,48.741,50.5,49.5,60.9,3.012,248.1,Pass,Accept,2.027,Needs rework
QI-000041,2024-01-01 01:20:26,BATCH-0002424,PROD-001,LINE-3,QI-008,Visual,92,7,Missing Feature,50.3396,50.5,49.5,53.8,0.2,254.71,Pass,Accept,1.888,OK
QI-000042,2024-01-01 01:22:13,BATCH-0004447,PROD-022,LINE-2,QI-014,Laser Scan,68,6,Surface Finish,50.548,50.5,49.5,57.0,2.316,251.76,Pass,Accept,1.458,Minor deviation
QI-000043,2024-01-01 01:24:12,BATCH-0002895,PROD-015,LINE-9,QI-002,Laser Scan,33,3,Burr,50.303,50.5,49.5,58.2,0.413,253.72,Pass,Accept,1.486,Critical failure
QI-000044,2024-01-01 01:26:23,BATCH-0006488,PROD-021,LINE-5,QI-014,Ultrasonic,65,11,NONE,50.2369,50.5,49.5,57.0,0.32,243.99,Pass,Accept,1.055,Critical failure
QI-000045,2024-01-01 01:28:18,BATCH-0004343,PROD-009,LINE-8,QI-010,X-Ray,13,11,Scratch,49.509,50.5,49.5,60.7,1.094,253.32,Pass,Accept,1.425,Needs rework
QI-000046,2024-01-01 01:30:23,BATCH-0006755,PROD-019,LINE-8,QI-015,X-Ray,81,6,NONE,50.5793,50.5,49.5,60.2,0.766,255.11,Pass,Accept,1.624,Critical failure
QI-000047,2024-01-01 01:32:19,BATCH-0008657,PROD-019,LINE-1,QI-019,Visual,33,13,Contamination,49.4965,50.5,49.5,55.8,2.539,247.97,Pass,Rework,1.276,Needs rework
QI-000048,2024-01-01 01:34:05,BATCH-0005478,PROD-010,LINE-7,QI-015,Ultrasonic,86,0,Crack,49.102,50.5,49.5,62.8,0.98,241.87,Pass,Accept,1.367,Needs rework
QI-000049,2024-01-01 01:36:29,BATCH-0005422,PROD-023,LINE-3,QI-016,Ultrasonic,85,1,Crack,49.6385,50.5,49.5,57.0,3.07,245.72,Pass,Accept,1.448,OK
QI-000050,2024-01-01 01:38:27,BATCH-0001809,PROD-019,LINE-10,QI-013,CMM,37,2,NONE,49.4835,50.5,49.5,56.1,0.2,243.95,Pass,Accept,1.488,Critical failure
QI-000051,2024-01-01 01:40:30,BATCH-0009397,PROD-010,LINE-2,QI-019,Ultrasonic,68,0,Missing Feature,49.3821,50.5,49.5,54.5,1.65,240.82,Pass,Accept,1.437,Critical failure
QI-000052,2024-01-01 01:42:20,BATCH-0000403,PROD-023,LINE-6,QI-011,CMM,94,7,Missing Feature,49.5786,50.5,49.5,55.6,0.2,249.96,Pass,Accept,1.416,Needs rework
QI-000053,2024-01-01 01:44:22,BATCH-0002338,PROD-018,LINE-2,QI-017,Ultrasonic,90,9,Surface Finish,50.4933,50.5,49.5,54.4,0.623,250.27,Pass,Accept,1.294,OK
QI-000054,2024-01-01 01:46:27,BATCH-0000566,PROD-007,LINE-2,QI-012,Visual,85,11,Burr,49.9964,50.5,49.5,61.0,0.743,247.38,Pass,Accept,1.496,Critical failure
QI-000055,2024-01-01 01:48:13,BATCH-0004991,PROD-025,LINE-10,QI-019,X-Ray,44,0,Surface Finish,50.7739,50.5,49.5,57.5,0.666,254.86,Pass,Accept,1.3,Minor deviation
QI-000056,2024-01-01 01:50:02,BATCH-0001128,PROD-019,LINE-8,QI-006,CMM,89,3,Dimensional,49.9047,50.5,49.5,55.2,0.427,242.75,Fail,Accept,1.199,Needs rework
QI-000057,2024-01-01 01:52:06,BATCH-0001062,PROD-007,LINE-1,QI-017,Manual Gauge,58,10,Porosity,51.0123,50.5,49.5,52.5,3.346,248.95,Pass,Accept,1.77,Minor deviation
QI-000058,2024-01-01 01:54:16,BATCH-0005292,PROD-011,LINE-7,QI-008,Laser Scan,90,5,Dimensional,49.5692,50.5,49.5,58.5,0.2,254.37,Pass,Accept,1.505,Within spec
QI-000059,2024-01-01 01:56:04,BATCH-0004994,PROD-015,LINE-7,QI-011,Ultrasonic,10,10,Missing Feature,50.676,50.5,49.5,55.1,0.347,252.26,Pass,Accept,1.657,Critical failure
QI-000060,2024-01-01 01:58:29,BATCH-0008920,PROD-004,LINE-4,QI-013,CMM,42,3,Surface Finish,50.1036,50.5,49.5,60.4,2.698,250.63,Pass,Accept,0.667,Needs rework
QI-000061,2024-01-01 02:00:13,BATCH-0008265,PROD-011,LINE-9,QI-010,CMM,70,5,Contamination,50.1378,50.5,49.5,58.1,0.582,255.43,Pass,Accept,1.287,OK
QI-000062,2024-01-01 02:02:25,BATCH-0000538,PROD-011,LINE-10,QI-002,CMM,43,13,NONE,49.9265,50.5,49.5,60.3,1.497,246.21,Pass,Accept,1.205,Within spec
QI-000063,2024-01-01 02:04:17,BATCH-0005179,PROD-012,LINE-5,QI-008,Laser Scan,27,6,Crack,49.492,50.5,49.5,59.0,0.26,245.11,Pass,Accept,1.734,OK
QI-000064,2024-01-01 02:06:15,BATCH-0001615,PROD-002,LINE-10,QI-015,X-Ray,37,7,Missing Feature,50.2255,50.5,49.5,57.4,0.336,245.49,Pass,Scrap,1.702,Minor deviation
QI-000065,2024-01-01 02:08:01,BATCH-0000818,PROD-018,LINE-8,QI-018,Ultrasonic,94,14,Porosity,50.323,50.5,49.5,56.1,0.543,244.59,Pass,Accept,1.497,Minor deviation
QI-000066,2024-01-01 02:10:19,BATCH-0009942,PROD-022,LINE-8,QI-005,Visual,47,9,Surface Finish,48.7381,50.5,49.5,63.3,0.402,241.21,Pass,Accept,1.324,OK
QI-000067,2024-01-01 02:12:24,BATCH-0003627,PROD-018,LINE-5,QI-011,Visual,36,7,NONE,49.692,50.5,49.5,59.1,0.33,250.38,Pass,Accept,1.422,Needs rework
QI-000068,2024-01-01 02:14:27,BATCH-0003119,PROD-020,LINE-3,QI-002,Visual,57,7,Contamination,49.9014,50.5,49.5,55.7,0.2,245.37,Pass,Accept,1.201,Minor deviation
QI-000069,2024-01-01 02:16:14,BATCH-0004661,PROD-009,LINE-2,QI-003,Visual,88,9,Surface Finish,50.6745,50.5,49.5,58.4,0.293,257.82,Pass,Accept,1.479,Minor deviation
QI-000070,2024-01-01 02:18:28,BATCH-0006412,PROD-011,LINE-8,QI-016,Visual,8,0,NONE,51.2357,50.5,49.5,51.3,0.643,243.9,Pass,Accept,1.376,Within spec
QI-000071,2024-01-01 02:20:14,BATCH-0005981,PROD-004,LINE-2,QI-004,Ultrasonic,35,9,NONE,50.3463,50.5,49.5,59.3,0.2,247.97,Pass,Accept,1.654,Within spec
QI-000072,2024-01-01 02:22:28,BATCH-0004061,PROD-018,LINE-8,QI-017,Manual Gauge,88,6,Contamination,49.6587,50.5,49.5,61.0,2.034,254.98,Pass,Accept,1.707,Minor deviation
QI-000073,2024-01-01 02:24:14,BATCH-0003675,PROD-010,LINE-3,QI-017,Laser Scan,26,10,NONE,50.4589,50.5,49.5,55.6,0.599,245.64,Pass,Accept,1.461,Within spec
QI-000074,2024-01-01 02:26:14,BATCH-0006827,PROD-003,LINE-5,QI-009,CMM,82,12,NONE,50.8971,50.5,49.5,58.6,2.166,241.47,Pass,Accept,1.362,Within spec
QI-000075,2024-01-01 02:28:19,BATCH-0003328,PROD-005,LINE-5,QI-012,Manual Gauge,46,12,NONE,50.1781,50.5,49.5,58.6,1.172,254.56,Pass,Accept,1.304,Within spec
QI-000076,2024-01-01 02:30:11,BATCH-0003902,PROD-005,LINE-10,QI-015,CMM,87,7,Scratch,49.8448,50.5,49.5,63.6,2.144,246.9,Pass,Accept,1.247,Needs rework
QI-000077,2024-01-01 02:32:14,BATCH-0000107,PROD-017,LINE-10,QI-019,X-Ray,59,0,Porosity,49.9053,50.5,49.5,58.9,1.571,246.06,Fail,Accept,1.177,Minor deviation
QI-000078,2024-01-01 02:34:01,BATCH-0005173,PROD-020,LINE-7,QI-012,X-Ray,61,0,Porosity,49.7785,50.5,49.5,62.6,0.313,250.94,Pass,Accept,1.235,Within spec
QI-000079,2024-01-01 02:36:24,BATCH-0007897,PROD-019,LINE-1,QI-020,X-Ray,41,0,Missing Feature,49.3953,50.5,49.5,53.1,1.185,246.27,Pass,Accept,1.58,Needs rework
QI-000080,2024-01-01 02:38:20,BATCH-0006035,PROD-007,LINE-10,QI-010,Visual,54,7,NONE,49.6657,50.5,49.5,59.1,0.2,255.35,Pass,Accept,1.741,OK
QI-000081,2024-01-01 02:40:06,BATCH-0004959,PROD-009,LINE-6,QI-014,Laser Scan,67,0,Burr,50.1369,50.5,49.5,55.9,1.298,251.37,Pass,Accept,1.536,Minor deviation
QI-000082,2024-01-01 02:42:18,BATCH-0003171,PROD-023,LINE-9,QI-015,Visual,45,9,Porosity,49.3762,50.5,49.5,54.5,2.79,239.5,Pass,Scrap,1.369,Within spec
QI-000083,2024-01-01 02:44:18,BATCH-0007627,PROD-019,LINE-7,QI-003,Laser Scan,85,14,NONE,50.4998,50.5,49.5,58.5,2.636,256.47,Pass,Accept,1.606,Needs rework
QI-000084,2024-01-01 02:46:28,BATCH-0000868,PROD-014,LINE-9,QI-005,Manual Gauge,71,14,NONE,50.2643,50.5,49.5,57.8,0.2,245.85,Pass,Accept,1.853,Minor deviation
QI-000085,2024-01-01 02:48:26,BATCH-0000048,PROD-016,LINE-10,QI-006,X-Ray,85,1,Burr,49.52,50.5,49.5,58.4,0.247,245.8,Pass,Accept,1.456,Critical failure
QI-000086,2024-01-01 02:50:13,BATCH-0009465,PROD-010,LINE-6,QI-020,X-Ray,18,13,NONE,49.7741,50.5,49.5,57.3,0.586,253.78,Pass,Accept,1.279,Within spec
QI-000087,2024-01-01 02:52:04,BATCH-0008852,PROD-001,LINE-10,QI-019,X-Ray,70,4,Crack,49.9329,50.5,49.5,59.4,0.72,249.12,Pass,Rework,1.675,Critical failure
QI-000088,2024-01-01 02:54:12,BATCH-0004618,PROD-008,LINE-4,QI-014,Manual Gauge,40,3,Porosity,50.0595,50.5,49.5,58.0,1.048,242.71,Pass,Accept,1.524,Within spec
QI-000089,2024-01-01 02:56:07,BATCH-0001959,PROD-016,LINE-6,QI-013,Ultrasonic,11,1,Missing Feature,49.2692,50.5,49.5,58.8,1.411,241.73,Fail,Accept,1.487,Within spec
QI-000090,2024-01-01 02:58:15,BATCH-0006646,PROD-012,LINE-7,QI-009,Ultrasonic,45,12,Porosity,50.9765,50.5,49.5,56.8,2.124,247.02,Pass,Accept,1.645,Critical failure
QI-000091,2024-01-01 03:00:14,BATCH-0004318,PROD-002,LINE-2,QI-011,Manual Gauge,48,6,Surface Finish,49.2744,50.5,49.5,55.4,0.2,253.46,Pass,Scrap,1.793,Minor deviation
QI-000092,2024-01-01 03:02:18,BATCH-0003823,PROD-008,LINE-7,QI-012,Visual,71,4,Dimensional,51.0672,50.5,49.5,61.9,0.2,250.71,Pass,Accept,1.689,Minor deviation
QI-000093,2024-01-01 03:04:05,BATCH-0007387,PROD-025,LINE-9,QI-011,X-Ray,35,12,NONE,49.8171,50.5,49.5,55.1,4.674,255.02,Pass,Accept,1.169,Minor deviation
QI-000094,2024-01-01 03:06:28,BATCH-0007356,PROD-017,LINE-10,QI-002,Ultrasonic,33,7,Contamination,50.547,50.5,49.5,56.7,0.234,253.71,Pass,Accept,1.455,Minor deviation
QI-000095,2024-01-01 03:08:23,BATCH-0000541,PROD-022,LINE-4,QI-008,Visual,90,6,Scratch,50.4274,50.5,49.5,62.3,1.651,248.02,Pass,Accept,1.123,Minor deviation
QI-000096,2024-01-01 03:10:25,BATCH-0002404,PROD-008,LINE-4,QI-017,Laser Scan,35,6,NONE,50.0345,50.5,49.5,59.5,0.2,264.21,Pass,Accept,1.624,Minor deviation
QI-000097,2024-01-01 03:12:24,BATCH-0001572,PROD-019,LINE-7,QI-008,X-Ray,15,1,Burr,50.3024,50.5,49.5,56.5,0.72,254.3,Pass,Accept,1.807,Critical failure
QI-000098,2024-01-01 03:14:29,BATCH-0007577,PROD-018,LINE-3,QI-020,Ultrasonic,17,0,Crack,48.9918,50.5,49.5,59.5,3.794,251.4,Pass,Accept,1.057,Within spec
QI-000099,2024-01-01 03:16:14,BATCH-0000176,PROD-002,LINE-2,QI-012,X-Ray,22,9,Contamination,49.67,50.5,49.5,53.5,2.173,248.23,Pass,Accept,1.883,Critical failure
QI-000100,2024-01-01 03:18:02,BATCH-0004417,PROD-019,LINE-10,QI-020,X-Ray,14,14,NONE,49.9442,50.5,49.5,57.0,0.537,244.16,Pass,Accept,1.318,Minor deviation
QI-000101,2024-01-01 03:20:21,BATCH-0007223,PROD-011,LINE-5,QI-019,Visual,28,11,Porosity,51.1599,50.5,49.5,62.2,0.387,259.98,Pass,Accept,1.623,Within spec
QI-000102,2024-01-01 03:22:25,BATCH-0001008,PROD-018,LINE-7,QI-016,CMM,63,2,Porosity,49.638,50.5,49.5,58.0,3.766,257.85,Pass,Accept,1.717,Within spec
QI-000103,2024-01-01 03:24:02,BATCH-0001824,PROD-023,LINE-4,QI-002,CMM,38,14,Crack,49.98,50.5,49.5,54.0,0.2,247.55,Pass,Accept,1.723,Critical failure
QI-000104,2024-01-01 03:26:01,BATCH-0003014,PROD-006,LINE-6,QI-004,Visual,25,4,Porosity,49.8415,50.5,49.5,51.9,3.417,239.73,Pass,Accept,1.296,Critical failure
QI-000105,2024-01-01 03:28:30,BATCH-0005588,PROD-004,LINE-4,QI-010,CMM,77,3,Surface Finish,49.2904,50.5,49.5,62.4,2.411,256.6,Pass,Accept,1.614,OK
QI-000106,2024-01-01 03:30:14,BATCH-0002780,PROD-012,LINE-1,QI-014,Ultrasonic,78,11,Burr,49.9011,50.5,49.5,56.7,1.586,250.12,Pass,Accept,1.717,Critical failure
QI-000107,2024-01-01 03:32:24,BATCH-0009041,PROD-006,LINE-6,QI-010,Laser Scan,70,12,NONE,50.3747,50.5,49.5,61.7,0.551,246.38,Pass,Accept,1.686,OK
QI-000108,2024-01-01 03:34:07,BATCH-0003670,PROD-001,LINE-5,QI-019,Ultrasonic,93,9,Crack,49.5037,50.5,49.5,60.0,0.2,250.2,Pass,Accept,1.397,Needs rework
QI-000109,2024-01-01 03:36:11,BATCH-0003477,PROD-020,LINE-9,QI-006,X-Ray,43,7,Crack,50.3847,50.5,49.5,58.9,0.751,246.85,Pass,Accept,1.499,Needs rework
QI-000110,2024-01-01 03:38:03,BATCH-0009264,PROD-002,LINE-4,QI-019,Visual,23,7,NONE,49.9522,50.5,49.5,55.0,0.237,242.79,Pass,Rework,1.626,Critical failure
QI-000111,2024-01-01 03:40:04,BATCH-0007712,PROD-020,LINE-3,QI-007,Laser Scan,85,3,NONE,50.2599,50.5,49.5,58.0,1.314,253.87,Pass,Accept,1.523,Minor deviation
QI-000112,2024-01-01 03:42:17,BATCH-0001517,PROD-013,LINE-8,QI-013,X-Ray,36,14,Scratch,49.8999,50.5,49.5,54.6,2.878,253.53,Pass,Accept,1.802,Minor deviation
QI-000113,2024-01-01 03:44:19,BATCH-0007358,PROD-018,LINE-6,QI-020,Visual,9,7,Scratch,49.9001,50.5,49.5,57.7,0.635,249.64,Pass,Accept,1.146,Within spec
QI-000114,2024-01-01 03:46:13,BATCH-0008833,PROD-011,LINE-7,QI-016,Ultrasonic,17,14,NONE,50.1046,50.5,49.5,55.7,4.026,240.56,Pass,Accept,1.551,Minor deviation
QI-000115,2024-01-01 03:48:05,BATCH-0006130,PROD-005,LINE-6,QI-003,Manual Gauge,22,14,Contamination,49.3576,50.5,49.5,59.5,1.543,247.21,Pass,Accept,1.313,Critical failure
QI-000116,2024-01-01 03:50:05,BATCH-0006238,PROD-008,LINE-7,QI-004,Laser Scan,57,2,NONE,50.1105,50.5,49.5,60.8,0.418,248.68,Pass,Accept,1.862,OK
QI-000117,2024-01-01 03:52:21,BATCH-0008671,PROD-013,LINE-3,QI-003,Ultrasonic,88,1,Crack,50.4116,50.5,49.5,54.2,0.55,244.62,Pass,Accept,1.077,Critical failure
QI-000118,2024-01-01 03:54:25,BATCH-0001777,PROD-017,LINE-5,QI-019,Ultrasonic,45,11,Porosity,50.2651,50.5,49.5,54.4,3.589,243.75,Pass,Rework,1.415,Needs rework
QI-000119,2024-01-01 03:56:01,BATCH-0007439,PROD-020,LINE-3,QI-009,Ultrasonic,36,11,NONE,49.7287,50.5,49.5,62.4,2.189,252.08,Pass,Accept,1.252,Within spec
QI-000120,2024-01-01 03:58:13,BATCH-0006203,PROD-009,LINE-6,QI-007,Ultrasonic,5,4,NONE,51.1313,50.5,49.5,59.1,0.881,249.22,Pass,Accept,2.195,Critical failure
QI-000121,2024-01-01 04:00:17,BATCH-0009915,PROD-012,LINE-9,QI-005,Laser Scan,23,3,NONE,49.1689,50.5,49.5,61.1,1.403,257.59,Pass,Accept,1.602,Critical failure
QI-000122,2024-01-01 04:02:30,BATCH-0007282,PROD-014,LINE-6,QI-020,CMM,88,4,Scratch,50.278,50.5,49.5,62.3,0.2,253.44,Fail,Accept,1.645,Critical failure
QI-000123,2024-01-01 04:04:28,BATCH-0006144,PROD-014,LINE-9,QI-004,Ultrasonic,31,8,NONE,50.6171,50.5,49.5,56.3,0.631,252.55,Pass,Accept,1.688,Needs rework
QI-000124,2024-01-01 04:06:20,BATCH-0000604,PROD-023,LINE-9,QI-015,Manual Gauge,65,4,NONE,50.1028,50.5,49.5,54.5,0.54,247.13,Pass,Accept,1.746,Within spec
QI-000125,2024-01-01 04:08:29,BATCH-0005810,PROD-009,LINE-8,QI-002,CMM,39,12,Crack,49.8888,50.5,49.5,57.3,1.56,250.13,Pass,Accept,1.867,Needs rework
QI-000126,2024-01-01 04:10:05,BATCH-0009901,PROD-002,LINE-10,QI-008,Laser Scan,73,10,Crack,49.7055,50.5,49.5,55.9,0.906,249.87,Pass,Accept,1.214,Within spec
QI-000127,2024-01-01 04:12:09,BATCH-0001547,PROD-021,LINE-4,QI-013,Ultrasonic,82,1,NONE,50.1353,50.5,49.5,58.4,0.758,251.95,Pass,Hold,1.472,Critical failure
QI-000128,2024-01-01 04:14:06,BATCH-0008087,PROD-002,LINE-7,QI-015,Ultrasonic,59,2,Dimensional,49.7771,50.5,49.5,50.3,1.395,244.9,Pass,Accept,1.476,Within spec
QI-000129,2024-01-01 04:16:05,BATCH-0003879,PROD-004,LINE-3,QI-012,Ultrasonic,86,12,Surface Finish,50.0227,50.5,49.5,55.9,1.168,246.11,Pass,Accept,1.42,Minor deviation
QI-000130,2024-01-01 04:18:07,BATCH-0009221,PROD-013,LINE-8,QI-017,Laser Scan,92,1,NONE,50.002,50.5,49.5,59.4,0.2,242.37,Pass,Accept,1.731,OK
QI-000131,2024-01-01 04:20:06,BATCH-0003916,PROD-014,LINE-3,QI-011,X-Ray,80,12,NONE,50.2258,50.5,49.5,60.7,3.023,245.46,Pass,Accept,1.654,Needs rework
QI-000132,2024-01-01 04:22:21,BATCH-0000501,PROD-007,LINE-8,QI-009,Visual,7,5,NONE,49.5456,50.5,49.5,60.3,0.497,252.23,Pass,Accept,1.492,Minor deviation
QI-000133,2024-01-01 04:24:30,BATCH-0001134,PROD-008,LINE-5,QI-017,X-Ray,68,7,Dimensional,49.6373,50.5,49.5,53.6,0.503,257.14,Pass,Accept,2.002,OK
QI-000134,2024-01-01 04:26:24,BATCH-0000938,PROD-009,LINE-5,QI-010,Manual Gauge,8,5,Porosity,49.8616,50.5,49.5,55.4,3.476,250.73,Pass,Accept,1.287,Minor deviation
