order_id,order_date,supplier_id,material_id,material_category,plant,warehouse_id,ordered_qty,received_qty,unit_price_USD,total_cost_USD,lead_time_days,actual_delivery_days,on_time_delivery,quality_rating,stock_level_units,reorder_point,inventory_turnover,transport_mode,status
PO-0000027,2024-04-10,SUP-031,MAT-001,Spare Part,Plant-A,WH-07,2175,2891,68.84,253859.68,7,8,Yes,4.77,4523,292,8.31,Air,Delivered
PO-0000028,2024-09-10,SUP-022,MAT-019,Consumable,Plant-A,WH-03,2917,1009,10.47,58529.56,25,20,Yes,4.96,1637,397,9.67,Truck,In Transit
PO-0000029,2024-03-01,SUP-010,MAT-054,Spare Part,Plant-C,WH-07,4093,3135,11.03,7031.43,4,22,No,3.98,1029,362,7.65,Rail,Cancelled
PO-0000030,2024-06-13,SUP-029,MAT-029,Packaging,Plant-B,WH-03,1200,674,43.0,109966.69,50,62,Yes,3.31,1193,101,9.92,Air,Delivered
PO-0000031,2024-11-27,SUP-024,MAT-035,Spare Part,Plant-C,WH-08,3410,1660,3.62,583233.04,3,19,No,4.01,5584,317,10.18,Ship,Partial
PO-0000032,2024-07-07,SUP-035,MAT-010,Consumable,Plant-B,WH-06,1877,624,28.39,39979.13,42,5,Yes,3.09,8888,568,4.73,Ship,In Transit
PO-0000033,2024-09-21,SUP-038,MAT-045,Packaging,Plant-A,WH-09,3900,4101,34.21,18538.07,33,87,Yes,3.37,2314,868,4.17,Truck,Delivered
PO-0000034,2024-07-24,SUP-031,MAT-010,Spare Part,Plant-C,WH-03,969,2278,55.61,345118.92,23,11,No,4.14,1390,608,4.43,Truck,In Transit
PO-0000035,2024-01-06,SUP-021,MAT-054,Packaging,Plant-B,WH-07,1215,2009,44.15,332967.81,25,51,Yes,3.63,1952,146,7.63,Truck,Delivered
PO-0000036,2024-04-03,SUP-018,MAT-031,Consumable,Plant-A,WH-05,3171,2872,156.72,9896.64,89,21,Yes,4.23,9813,306,4.76,Rail,Delivered
PO-0000037,2024-07-24,SUP-023,MAT-010,Consumable,Plant-A,WH-04,4043,1877,2.32,54265.51,81,46,Yes,3.87,1096,581,8.87,Rail,Delivered
PO-0000038,2024-06-03,SUP-036,MAT-010,Consumable,Plant-B,WH-01,3315,1579,31.51,48923.91,45,26,No,4.49,2264,189,8.39,Truck,Delivered
PO-0000039,2024-03-07,SUP-009,MAT-009,Spare Part,Plant-B,WH-04,963,3634,9.89,167897.05,62,1,Yes,4.1,4317,421,10.09,Air,Delivered
PO-0000040,2024-04-17,SUP-022,MAT-020,Consumable,Plant-A,WH-07,3714,1710,18.59,53098.23,81,34,Yes,3.55,649,921,8.19,Ship,Delivered
PO-0000041,2024-07-25,SUP-026,MAT-056,Consumable,Plant-C,WH-07,3112,2429,2.13,188513.89,57,43,No,3.96,7176,131,5.0,Truck,Cancelled
PO-0000042,2024-04-01,SUP-008,MAT-046,Component,Plant-B,WH-01,2310,3757,256.1,212201.56,17,31,Yes,4.3,9250,566,7.18,Truck,Delivered
PO-0000043,2024-06-03,SUP-016,MAT-030,Raw Material,Plant-C,WH-01,501,1765,26.65,16413.78,3,5,Yes,3.79,7893,771,12.16,Truck,Delivered
PO-0000044,2024-06-22,SUP-035,MAT-045,Spare Part,Plant-B,WH-09,4212,1176,75.83,81593.89,65,69,Yes,3.98,164,781,8.93,Truck,Delivered
PO-0000045,2024-09-17,SUP-021,MAT-033,Consumable,Plant-A,WH-09,2857,4192,37.62,10958.75,40,18,No,3.24,2804,290,7.86,Truck,In Transit
PO-0000046,2024-10-02,SUP-023,MAT-035,Component,Plant-A,WH-07,2045,4998,52.66,174017.1,18,82,Yes,4.61,3491,883,11.29,Truck,In Transit
PO-0000047,2024-05-26,SUP-003,MAT-016,Consumable,Plant-C,WH-02,4810,3928,39.21,30321.9,72,58,Yes,4.87,7889,983,6.96,Truck,Delivered
PO-0000048,2024-12-30,SUP-028,MAT-013,Packaging,Plant-C,WH-09,4609,430,111.89,58393.72,57,79,Yes,4.39,2620,926,7.39,Truck,Delivered
PO-0000049,2024-07-11,SUP-010,MAT-040,Raw Material,Plant-B,WH-07,480,4233,30.2,63312.44,1,51,No,3.2,8587,146,8.79,Truck,Delivered
PO-0000050,2024-10-24,SUP-032,MAT-019,Spare Part,Plant-B,WH-03,1423,628,9.69,5398.33,43,79,Yes,4.07,4808,702,8.38,Truck,Delivered
PO-0000051,2024-04-15,SUP-018,MAT-030,Raw Material,Plant-B,WH-01,348,4867,128.69,12750.88,14,30,Yes,4.65,1027,209,7.1,Truck,Delivered
PO-0000052,2024-08-16,SUP-020,MAT-014,Component,Plant-C,WH-02,387,3682,48.13,82232.37,45,94,Yes,4.2,3525,665,6.87,Truck,Delivered
PO-0000053,2024-02-05,SUP-008,MAT-035,Packaging,Plant-B,WH-02,567,4249,2.31,18845.47,38,13,Yes,4.47,3231,226,5.43,Rail,In Transit
PO-0000054,2024-05-23,SUP-004,MAT-011,Consumable,Plant-B,WH-03,1000,2479,172.29,28482.58,77,91,Yes,3.72,9360,298,9.49,Truck,In Transit
PO-0000055,2024-08-24,SUP-012,MAT-024,Spare Part,Plant-B,WH-03,2831,2517,111.0,79564.9,45,2,Yes,3.84,4287,558,5.6,Air,Delivered
PO-0000056,2024-11-27,SUP-038,MAT-047,Component,Plant-C,WH-01,2528,1287,58.96,15924.27,70,31,Yes,3.67,3279,542,10.58,Truck,Delivered
PO-0000057,2024-10-09,SUP-011,MAT-057,Packaging,Plant-B,WH-09,678,369,25.8,1519.0,30,99,Yes,4.44,7034,931,10.43,Rail,Delivered
PO-0000058,2024-09-11,SUP-011,MAT-026,Component,Plant-B,WH-08,2953,4387,15.63,10387.69,89,17,Yes,3.49,5689,352,8.31,Ship,Delivered
PO-0000059,2024-06-26,SUP-030,MAT-022,Component,Plant-B,WH-08,3154,575,58.46,139483.59,65,62,Yes,3.55,4523,882,3.98,Truck,Partial
PO-0000060,2024-01-14,SUP-036,MAT-013,Raw Material,Plant-B,WH-09,346,4837,4.7,68150.76,79,39,Yes,4.03,6593,320,7.95,Truck,Delivered
PO-0000061,2024-09-22,SUP-031,MAT-038,Spare Part,Plant-C,WH-05,3849,1052,11.59,8998.97,88,6,Yes,3.76,5504,618,11.92,Truck,Delivered
PO-0000062,2024-12-09,SUP-037,MAT-006,Raw Material,Plant-B,WH-09,3176,2745,87.13,231693.65,8,70,Yes,3.79,9261,809,7.33,Ship,In Transit
PO-0000063,2024-01-12,SUP-027,MAT-058,Consumable,Plant-A,WH-03,2619,1384,11.38,98612.53,63,95,Yes,3.45,9031,679,10.97,Air,Delivered
PO-0000064,2024-07-01,SUP-014,MAT-042,Component,Plant-C,WH-10,852,2714,43.8,171762.57,10,36,Yes,3.05,5308,333,7.41,Rail,Delivered
PO-0000065,2024-11-26,SUP-033,MAT-052,Consumable,Plant-C,WH-10,3276,3124,88.29,52226.94,37,43,Yes,3.38,2095,155,9.07,Ship,Delivered
PO-0000066,2024-12-21,SUP-006,MAT-015,Raw Material,Plant-A,WH-05,2488,4789,32.1,46025.15,82,60,Yes,3.8,1824,397,7.87,Truck,Delivered
PO-0000067,2024-08-23,SUP-012,MAT-027,Consumable,Plant-B,WH-01,1032,4737,24.83,12973.64,52,16,Yes,4.81,6919,745,8.27,Air,Delivered
PO-0000068,2024-11-17,SUP-035,MAT-032,Consumable,Plant-B,WH-03,4021,3517,164.38,16354.17,24,99,No,4.08,6154,943,12.09,Rail,Delivered
PO-0000069,2024-02-03,SUP-008,MAT-020,Component,Plant-B,WH-01,3627,519,24.23,476.0,54,66,Yes,3.62,8240,293,13.75,Ship,Delivered
PO-0000070,2024-02-04,SUP-017,MAT-015,Consumable,Plant-B,WH-09,122,4752,13.58,197814.81,35,42,Yes,4.06,5875,744,10.08,Truck,Delivered
PO-0000071,2024-09-11,SUP-002,MAT-027,Consumable,Plant-B,WH-10,2644,1072,78.7,15947.67,77,21,Yes,3.95,2306,297,5.11,Truck,Pending
PO-0000072,2024-09-27,SUP-003,MAT-013,Raw Material,Plant-B,WH-07,4725,1743,65.07,76027.09,32,87,Yes,4.95,8506,231,10.15,Truck,In Transit
PO-0000073,2024-05-12,SUP-010,MAT-044,Raw Material,Plant-B,WH-05,1397,819,90.72,6988.5,53,78,Yes,4.57,9586,371,9.74,Truck,Partial
PO-0000074,2024-11-19,SUP-007,MAT-010,Raw Material,Plant-A,WH-08,2516,721,69.58,152141.46,71,86,No,3.37,3235,513,6.96,Truck,In Transit
PO-0000075,2024-06-06,SUP-007,MAT-043,Raw Material,Plant-B,WH-02,3878,2041,191.16,1530.96,23,77,Yes,4.18,7177,568,8.27,Ship,Cancelled
PO-0000076,2024-05-22,SUP-007,MAT-029,Packaging,Plant-C,WH-03,724,391,25.29,121674.11,21,8,Yes,4.33,4145,373,8.6,Ship,Delivered
PO-0000077,2024-01-26,SUP-012,MAT-013,Packaging,Plant-B,WH-06,3646,2821,51.39,22467.79,79,9,Yes,4.26,9352,364,6.28,Truck,Cancelled
PO-0000078,2024-01-31,SUP-002,MAT-025,Raw Material,Plant-A,WH-08,1390,884,15.07,104005.99,34,86,Yes,4.61,542,337,5.39,Truck,Pending
PO-0000079,2024-03-20,SUP-024,MAT-046,Spare Part,Plant-A,WH-02,4525,3812,17.17,443564.3,81,15,Yes,4.24,5839,918,5.07,Truck,Delivered
PO-0000080,2024-09-06,SUP-031,MAT-051,Consumable,Plant-B,WH-08,30,2823,69.29,18531.83,24,7,Yes,4.95,286,864,6.31,Truck,Partial
PO-0000081,2024-05-13,SUP-007,MAT-028,Spare Part,Plant-C,WH-10,4379,2949,10.69,95329.52,57,99,Yes,4.26,5466,295,5.76,Truck,In Transit
PO-0000082,2024-09-17,SUP-009,MAT-054,Packaging,Plant-A,WH-05,3877,4179,49.08,1448.0,75,3,Yes,3.28,1142,603,8.85,Truck,In Transit
PO-0000083,2024-11-04,SUP-027,MAT-046,Consumable,Plant-C,WH-02,3869,3467,57.98,9118.49,36,12,No,4.16,6152,382,11.19,Rail,In Transit
PO-0000084,2024-05-10,SUP-010,MAT-041,Spare Part,Plant-A,WH-04,3688,2570,47.04,135023.45,34,63,Yes,4.39,7832,498,10.95,Truck,Delivered
PO-0000085,2024-03-28,SUP-019,MAT-026,Consumable,Plant-A,WH-08,952,584,64.27,187080.73,84,97,Yes,3.86,5961,402,9.83,Truck,Delivered
PO-0000086,2024-05-21,SUP-034,MAT-031,Raw Material,Plant-A,WH-06,764,4171,2.36,83191.6,23,23,Yes,3.06,6592,210,6.51,Truck,Delivered
PO-0000087,2024-06-06,SUP-030,MAT-029,Packaging,Plant-C,WH-08,2674,1415,20.52,207752.24,4,60,Yes,4.32,4304,519,8.73,Ship,Delivered
PO-0000088,2024-04-28,SUP-030,MAT-007,Packaging,Plant-B,WH-10,3611,4396,8.44,87821.48,68,3,Yes,3.06,9755,309,7.66,Truck,Partial
PO-0000089,2024-08-14,SUP-008,MAT-016,Consumable,Plant-B,WH-05,313,1975,61.53,17875.9,57,69,Yes,3.14,1522,764,9.59,Truck,Delivered
PO-0000090,2024-11-07,SUP-029,MAT-053,Packaging,Plant-B,WH-06,3560,2281,32.71,15625.36,52,2,No,4.88,5079,552,9.24,Truck,Delivered
PO-0000091,2024-04-14,SUP-013,MAT-007,Spare Part,Plant-C,WH-03,756,2965,5.87,607715.5,86,31,Yes,4.02,2233,765,9.27,Truck,Delivered
PO-0000092,2024-07-26,SUP-039,MAT-005,Packaging,Plant-A,WH-06,4552,2242,1.48,222902.37,84,46,Yes,4.74,1405,890,7.35,Truck,Pending
PO-0000093,2024-07-18,SUP-011,MAT-022,Component,Plant-C,WH-05,1748,3593,20.46,80772.17,76,43,Yes,3.81,5552,836,8.15,Truck,In Transit
PO-0000094,2024-08-07,SUP-021,MAT-045,Component,Plant-C,WH-04,159,1849,69.04,208718.33,52,75,Yes,4.79,8464,554,8.07,Rail,Delivered
PO-0000095,2024-01-27,SUP-032,MAT-001,Consumable,Plant-B,WH-02,2516,3594,8.85,90873.99,8,64,Yes,4.04,6541,740,6.05,Ship,In Transit
PO-0000096,2024-05-26,SUP-037,MAT-023,Packaging,Plant-C,WH-06,4178,2954,10.17,99140.15,70,94,Yes,3.08,9886,414,12.32,Truck,Delivered
PO-0000097,2024-06-07,SUP-018,MAT-025,Consumable,Plant-A,WH-10,2745,1894,59.44,105948.01,82,1,Yes,4.61,6170,564,8.27,Ship,Cancelled
PO-0000098,2024-10-02,SUP-015,MAT-014,Spare Part,Plant-B,WH-08,1747,2323,21.7,3747.0,28,31,Yes,3.82,2876,192,10.56,Ship,Delivered
PO-0000099,2024-07-22,SUP-027,MAT-026,Spare Part,Plant-C,WH-06,4207,2749,33.69,221660.11,88,47,Yes,4.23,6451,189,8.5,Truck,Delivered
PO-0000100,2024-08-22,SUP-013,MAT-028,Spare Part,Plant-C,WH-05,2361,5045,25.87,111412.66,75,73,Yes,4.93,2215,614,8.17,Truck,Delivered
PO-0000101,2024-02-29,SUP-015,MAT-001,Spare Part,Plant-A,WH-09,3199,4753,177.48,4866.13,86,32,Yes,3.88,7072,944,6.68,Truck,Delivered
PO-0000102,2024-03-02,SUP-022,MAT-056,Component,Plant-A,WH-04,1351,791,30.86,172036.0,45,60,Yes,3.91,5029,516,6.51,Truck,In Transit
PO-0000103,2024-10-02,SUP-034,MAT-017,Packaging,Plant-C,WH-01,2218,1636,18.69,48019.04,51,8,Yes,4.56,9204,773,7.24,Truck,Delivered
PO-0000104,2024-09-25,SUP-031,MAT-040,Packaging,Plant-A,WH-04,3565,2859,36.48,2038.74,77,89,Yes,4.74,3782,502,9.87,Truck,Delivered
PO-0000105,2024-02-08,SUP-009,MAT-049,Packaging,Plant-A,WH-04,1245,4664,14.96,19791.92,36,66,Yes,3.85,2999,685,10.82,Ship,Delivered
PO-0000106,2024-07-27,SUP-022,MAT-024,Raw Material,Plant-B,WH-04,1326,2995,170.24,147733.55,42,96,Yes,4.45,2864,239,6.4,Truck,Pending
PO-0000107,2024-02-04,SUP-010,MAT-056,Raw Material,Plant-C,WH-04,1945,1994,114.04,4290.73,37,21,Yes,4.66,7041,639,10.5,Rail,Delivered
PO-0000108,2024-09-26,SUP-011,MAT-012,Spare Part,Plant-C,WH-03,135,4983,38.3,8294.36,67,26,Yes,3.82,1916,255,9.6,Rail,Cancelled
PO-0000109,2024-03-27,SUP-021,MAT-007,Packaging,Plant-A,WH-04,2352,3655,41.39,153560.4,15,12,Yes,3.51,5174,607,11.65,Rail,Delivered
PO-0000110,2024-09-07,SUP-005,MAT-044,Consumable,Plant-B,WH-07,2113,3364,62.01,112754.53,69,9,Yes,3.21,9760,626,4.07,Truck,In Transit
PO-0000111,2024-08-13,SUP-034,MAT-034,Packaging,Plant-A,WH-09,2350,962,56.0,52003.34,41,33,Yes,4.68,3586,484,6.38,Rail,Delivered
PO-0000112,2024-11-26,SUP-040,MAT-036,Consumable,Plant-B,WH-05,2714,1706,17.63,30037.45,56,39,Yes,4.71,7612,425,6.26,Truck,In Transit
PO-0000113,2024-04-22,SUP-025,MAT-047,Consumable,Plant-B,WH-05,4598,2530,78.91,265.0,59,93,No,4.03,6238,663,10.77,Air,In Transit
PO-0000114,2024-05-31,SUP-029,MAT-017,Raw Material,Plant-A,WH-04,1177,3195,3.28,28780.19,85,57,Yes,4.52,9702,590,8.83,Air,Delivered
PO-0000115,2024-08-16,SUP-027,MAT-006,Consumable,Plant-C,WH-09,1199,499,69.35,6434.0,61,82,Yes,3.95,9277,462,4.41,Truck,In Transit
PO-0000116,2024-08-25,SUP-006,MAT-013,Packaging,Plant-C,WH-04,4483,4978,9.65,363740.41,40,54,Yes,4.84,6990,377,8.86,Rail,Delivered
PO-0000117,2024-05-27,SUP-030,MAT-001,Spare Part,Plant-A,WH-03,477,1431,8.26,80477.08,79,55,Yes,4.83,6874,205,7.89,Ship,Delivered
PO-0000118,2024-10-28,SUP-011,MAT-048,Raw Material,Plant-B,WH-06,542,4653,32.11,31958.73,70,57,No,3.5,8110,752,8.88,Truck,In Transit
PO-0000119,2024-08-01,SUP-022,MAT-042,Spare Part,Plant-C,WH-09,3993,4994,13.92,391671.17,77,94,Yes,4.71,6358,105,7.59,Air,Delivered
PO-0000120,2024-08-12,SUP-011,MAT-036,Raw Material,Plant-B,WH-02,3778,3417,17.34,49501.53,11,40,No,3.2,5860,924,4.31,Truck,In Transit
PO-0000121,2024-09-22,SUP-008,MAT-015,Spare Part,Plant-B,WH-10,4991,117,16.16,133420.96,27,16,Yes,4.6,1578,148,6.75,Rail,Partial
PO-0000122,2024-05-29,SUP-038,MAT-024,Spare Part,Plant-B,WH-01,4899,423,58.87,53456.47,87,7,Yes,3.95,4109,420,6.64,Ship,Partial
PO-0000123,2024-07-10,SUP-020,MAT-047,Packaging,Plant-A,WH-09,2899,3641,32.52,40722.95,26,15,No,3.28,3292,527,10.77,Truck,Delivered
PO-0000124,2024-12-24,SUP-029,MAT-042,Component,Plant-B,WH-08,3483,75,33.46,77398.63,22,13,Yes,3.86,8616,512,10.62,Air,Delivered
PO-0000125,2024-03-05,SUP-022,MAT-019,Packaging,Plant-B,WH-01,4557,3622,21.33,1964.87,50,44,Yes,3.11,5137,419,9.83,Rail,Delivered
PO-0000126,2024-08-24,SUP-001,MAT-059,Packaging,Plant-B,WH-05,589,1380,90.36,165626.88,20,25,Yes,3.1,448,459,11.09,Truck,In Transit
PO-0000127,2024-04-30,SUP-009,MAT-029,Raw Material,Plant-C,WH-08,4051,1578,10.53,140060.91,6,68,Yes,3.29,6017,580,9.34,Truck,Delivered
PO-0000128,2024-12-20,SUP-024,MAT-050,Packaging,Plant-A,WH-02,3177,3259,28.96,139238.78,47,26,Yes,3.65,8595,941,8.28,Truck,Delivered
PO-0000129,2024-05-04,SUP-024,MAT-028,Raw Material,Plant-C,WH-08,3723,1251,195.15,335266.55,26,25,Yes,4.76,4783,904,8.64,Rail,In Transit
PO-0000130,2024-11-24,SUP-007,MAT-049,Consumable,Plant-C,WH-01,4715,3857,38.22,117962.32,51,62,Yes,4.27,8634,162,8.39,Air,Cancelled
PO-0000131,2024-11-20,SUP-030,MAT-021,Packaging,Plant-B,WH-05,3027,773,3.36,4968.81,55,37,Yes,3.92,9449,403,7.02,Truck,Delivered
PO-0000132,2024-11-23,SUP-019,MAT-004,Component,Plant-C,WH-05,1980,90,72.97,56221.01,13,45,Yes,5.0,3168,489,8.06,Air,In Transit
PO-0000133,2024-02-22,SUP-004,MAT-019,Raw Material,Plant-A,WH-06,3050,348,8.52,375601.3,16,80,Yes,3.9,7399,983,3.27,Rail,In Transit
PO-0000134,2024-11-23,SUP-014,MAT-032,Raw Material,Plant-A,WH-08,4222,5047,3.17,62922.62,72,62,Yes,4.14,2141,232,8.73,Truck,In Transit
PO-0000135,2024-09-21,SUP-030,MAT-014,Raw Material,Plant-B,WH-02,847,2250,36.6,93835.0,41,42,No,3.38,1722,241,2.0,Truck,Delivered
PO-0000136,2024-09-23,SUP-012,MAT-034,Spare Part,Plant-C,WH-02,4899,2377,60.37,130627.3,11,83,Yes,3.18,1724,912,7.23,Truck,Delivered
PO-0000137,2024-02-23,SUP-006,MAT-011,Component,Plant-A,WH-05,368,3842,27.47,39328.58,22,20,No,3.93,8526,950,7.64,Air,Delivered
PO-0000138,2024-06-11,SUP-023,MAT-003,Component,Plant-C,WH-08,407,2373,30.75,39527.36,79,58,Yes,4.11,9158,521,6.82,Truck,Delivered
PO-0000139,2024-07-31,SUP-020,MAT-018,Packaging,Plant-A,WH-04,3848,3126,86.81,11991.25,60,15,Yes,4.62,5557,806,6.19,Truck,Delivered
PO-0000140,2024-09-10,SUP-039,MAT-020,Spare Part,Plant-C,WH-01,2958,604,70.92,202143.53,58,46,Yes,4.67,4956,795,6.99,Truck,In Transit
PO-0000141,2024-06-16,SUP-009,MAT-005,Component,Plant-A,WH-05,4681,4790,28.57,149647.23,38,60,Yes,4.13,2645,691,10.78,Air,Delivered
PO-0000142,2024-05-25,SUP-019,MAT-039,Packaging,Plant-C,WH-02,682,1842,189.82,229384.85,43,78,Yes,3.7,2179,615,7.32,Truck,Delivered
PO-0000143,2024-03-02,SUP-018,MAT-025,Component,Plant-B,WH-10,4943,1606,146.76,2234.0,83,19,Yes,4.71,6665,201,8.98,Truck,Delivered
PO-0000144,2024-04-19,SUP-035,MAT-037,Consumable,Plant-A,WH-03,685,2411,29.8,9185.58,32,53,Yes,4.44,1601,473,3.17,Truck,Delivered
PO-0000145,2024-06-20,SUP-033,MAT-016,Packaging,Plant-A,WH-06,168,2678,64.49,96036.57,59,79,Yes,4.12,2785,383,7.73,Truck,Delivered
PO-0000146,2024-05-21,SUP-014,MAT-037,Component,Plant-B,WH-09,2444,2782,63.97,48328.17,10,55,Yes,3.6,2716,408,8.24,Air,Pending
PO-0000147,2024-11-17,SUP-040,MAT-029,Spare Part,Plant-B,WH-02,4692,3136,36.87,3623.17,75,92,Yes,3.08,455,180,12.31,Ship,Delivered
PO-0000148,2024-11-20,SUP-026,MAT-006,Consumable,Plant-C,WH-07,3875,3662,1.41,44011.0,53,28,Yes,3.37,5838,746,7.93,Rail,Cancelled
PO-0000149,2024-06-29,SUP-023,MAT-045,Consumable,Plant-A,WH-09,4177,220,148.3,11865.1,43,20,Yes,4.17,1643,100,6.09,Air,Delivered
PO-0000150,2024-06-24,SUP-039,MAT-058,Packaging,Plant-A,WH-04,2441,4649,37.11,343313.02,63,47,Yes,3.07,1194,309,10.55,Rail,In Transit
PO-0000151,2024-12-04,SUP-033,MAT-026,Component,Plant-C,WH-08,3811,3575,16.48,52231.69,29,89,No,4.75,4890,602,6.77,Rail,Delivered
PO-0000152,2024-08-12,SUP-027,MAT-031,Consumable,Plant-B,WH-03,1747,185,59.67,42092.4,78,54,Yes,4.43,8763,679,2.69,Truck,Delivered
PO-0000153,2024-11-01,SUP-014,MAT-004,Component,Plant-B,WH-06,861,2036,3.36,357136.4,59,3,No,3.1,6472,833,6.32,Truck,Partial
PO-0000154,2024-08-21,SUP-017,MAT-024,Consumable,Plant-B,WH-02,4953,442,3.62,129256.84,1,56,Yes,3.01,822,616,9.37,Truck,In Transit
PO-0000155,2024-11-22,SUP-015,MAT-057,Consumable,Plant-A,WH-10,815,3445,2.74,275463.9,60,33,Yes,4.99,9683,328,11.36,Truck,Delivered
PO-0000156,2024-01-16,SUP-029,MAT-010,Consumable,Plant-A,WH-05,1062,4011,4.48,41693.94,46,80,Yes,4.88,6915,572,6.58,Truck,Delivered
PO-0000157,2024-08-23,SUP-002,MAT-001,Component,Plant-A,WH-07,2562,1775,142.33,184885.71,78,18,Yes,4.27,6496,341,7.91,Truck,In Transit
PO-0000158,2024-11-03,SUP-015,MAT-040,Raw Material,Plant-B,WH-02,3065,1685,64.39,178940.58,58,64,Yes,3.84,4228,641,4.11,Truck,Delivered
PO-0000159,2024-02-01,SUP-008,MAT-014,Raw Material,Plant-B,WH-01,186,1179,95.67,94368.92,6,84,Yes,3.14,8984,296,5.97,Truck,Delivered
