log_id,timestamp,machine_id,plant,production_line,event_type,event_category,severity_level,operator_id,shift,parameter_name,old_value,new_value,response_time_ms,duration_sec,alarm_code,acknowledged,system_component,session_id,message
LOG-0000034,2024-01-01 00:49:40,MCH-048,Plant-A,LINE-9,Login,System,WARNING,W-0027,Afternoon,Flow,196.82,299.46,5.0,863.3,E001,N/A,Drive,SES-00440,Firmware update
LOG-0000035,2024-01-01 00:51:27,MCH-012,Plant-C,LINE-8,Job End,System,INFO,W-0165,Night,Speed,858.22,70.94,60.0,137.1,A004,N/A,Database,SES-00138,Firmware update
LOG-0000036,2024-01-01 00:52:59,MCH-023,Plant-B,LINE-10,Error,System,WARNING,W-0126,Night,Flow,756.95,212.55,74.8,340.6,NONE,Yes,Actuator,SES-00357,Calibration required
LOG-0000037,2024-01-01 00:54:18,MCH-046,Plant-B,LINE-6,Shift Change,User,INFO,W-0060,Afternoon,Flow,977.54,476.53,1014.8,143.8,A003,N/A,Actuator,SES-00007,Threshold exceeded
LOG-0000038,2024-01-01 00:55:37,MCH-048,Plant-C,LINE-7,Logout,User,WARNING,W-0131,Morning,Current,251.81,601.98,235.8,340.8,NONE,No,Database,SES-00460,Auto mode activated
LOG-0000039,2024-01-01 00:57:06,MCH-021,Plant-B,LINE-10,Alarm Cleared,System,WARNING,W-0062,Night,Flow,676.31,684.02,405.7,71.8,NONE,N/A,Drive,SES-00353,Manual override
LOG-0000040,2024-01-01 00:58:40,MCH-050,Plant-A,LINE-4,Maintenance Start,Alert,INFO,W-0179,Afternoon,Flow,945.75,690.18,100.1,539.5,W001,N/A,Sensor,SES-00445,Setpoint changed
LOG-0000041,2024-01-01 01:00:30,MCH-037,Plant-B,LINE-6,Error,Operational,INFO,W-0046,Morning,Current,358.07,783.52,18.3,257.7,NONE,N/A,PLC,SES-00393,Setpoint changed
LOG-0000042,2024-01-01 01:01:47,MCH-009,Plant-C,LINE-5,Shift Change,Operational,INFO,W-0091,Afternoon,Temperature,633.86,861.31,109.1,559.3,A002,N/A,SCADA,SES-00413,Setpoint changed
LOG-0000043,2024-01-01 01:03:10,MCH-033,Plant-B,LINE-1,Maintenance End,Process,INFO,W-0060,Morning,Pressure,236.31,390.05,374.3,313.5,NONE,N/A,Actuator,SES-00385,Auto mode activated
LOG-0000044,2024-01-01 01:04:33,MCH-012,Plant-A,LINE-10,Job End,Process,INFO,W-0039,Morning,Torque,631.71,408.41,53.9,368.7,NONE,N/A,Database,SES-00015,Firmware update
LOG-0000045,2024-01-01 01:06:22,MCH-011,Plant-B,LINE-3,Machine Stop,User,CRITICAL,W-0087,Afternoon,Temperature,359.21,525.88,255.9,54.3,NONE,N/A,PLC,SES-00378,Manual override
LOG-0000046,2024-01-01 01:07:41,MCH-027,Plant-A,LINE-3,Maintenance End,User,DEBUG,W-0154,Morning,Current,258.51,544.61,244.7,187.3,NONE,Yes,HMI,SES-00297,Sync successful
LOG-0000047,2024-01-01 01:09:21,MCH-004,Plant-C,LINE-3,Warning,System,INFO,W-0059,Night,Current,687.33,469.89,431.7,184.8,NONE,N/A,SCADA,SES-00286,Manual override
LOG-0000048,2024-01-01 01:10:32,MCH-006,Plant-A,LINE-5,Maintenance End,Process,INFO,W-0118,Afternoon,Current,326.29,289.06,223.3,673.1,A005,Yes,Network,SES-00300,Setpoint changed
LOG-0000049,2024-01-01 01:12:20,MCH-039,Plant-B,LINE-2,Machine Start,Operational,WARNING,W-0120,Afternoon,N/A,443.17,67.22,114.5,306.1,NONE,N/A,Sensor,SES-00466,Calibration required
LOG-0000050,2024-01-01 01:13:39,MCH-041,Plant-A,LINE-10,Login,Alert,INFO,W-0086,Night,Torque,290.32,339.83,34.4,60.6,NONE,N/A,Actuator,SES-00116,Manual override
LOG-0000051,2024-01-01 01:15:18,MCH-017,Plant-B,LINE-1,Error,Operational,WARNING,W-0086,Afternoon,Flow,298.52,18.41,281.3,431.0,NONE,Yes,Drive,SES-00377,Sync successful
LOG-0000052,2024-01-01 01:16:38,MCH-001,Plant-C,LINE-9,Job End,Process,INFO,W-0162,Afternoon,N/A,399.76,672.48,163.8,444.8,A004,Yes,SCADA,SES-00217,Backup completed
LOG-0000053,2024-01-01 01:18:01,MCH-040,Plant-B,LINE-8,Machine Stop,Process,INFO,W-0076,Night,Current,434.69,321.46,28.3,54.5,NONE,Yes,Actuator,SES-00278,Firmware update
LOG-0000054,2024-01-01 01:19:51,MCH-037,Plant-C,LINE-7,Warning,User,INFO,W-0193,Morning,Current,341.54,916.0,179.2,59.4,A004,Yes,Actuator,SES-00376,Sync successful
LOG-0000055,2024-01-01 01:21:00,MCH-014,Plant-B,LINE-3,Machine Stop,Process,ERROR,W-0088,Morning,Voltage,887.62,714.91,182.4,366.3,W002,Yes,Network,SES-00230,Backup completed
LOG-0000056,2024-01-01 01:22:45,MCH-028,Plant-C,LINE-7,Maintenance Start,Operational,DEBUG,W-0137,Morning,Flow,87.24,743.98,161.8,37.2,NONE,N/A,Actuator,SES-00022,Setpoint changed
LOG-0000057,2024-01-01 01:24:08,MCH-036,Plant-C,LINE-3,Parameter Change,Process,WARNING,W-0078,Night,Pressure,104.26,426.31,18.4,432.3,NONE,Yes,Database,SES-00034,Auto mode activated
LOG-0000058,2024-01-01 01:25:59,MCH-010,Plant-A,LINE-9,Logout,Process,INFO,W-0187,Morning,Speed,241.18,666.15,72.9,163.4,NONE,Yes,Network,SES-00241,Manual override
LOG-0000059,2024-01-01 01:27:26,MCH-010,Plant-B,LINE-3,Logout,Operational,WARNING,W-0023,Night,N/A,874.64,597.48,72.3,37.9,NONE,N/A,Network,SES-00075,Manual override
LOG-0000060,2024-01-01 01:28:43,MCH-043,Plant-C,LINE-8,Parameter Change,Process,DEBUG,W-0170,Night,N/A,171.35,475.05,8.4,139.3,NONE,Yes,Drive,SES-00039,Manual override
LOG-0000061,2024-01-01 01:30:27,MCH-023,Plant-C,LINE-7,Shift Change,Alert,WARNING,W-0045,Morning,Voltage,70.13,448.26,104.9,390.4,W002,N/A,Database,SES-00487,Auto mode activated
LOG-0000062,2024-01-01 01:31:57,MCH-043,Plant-B,LINE-9,Parameter Change,User,INFO,W-0179,Afternoon,Flow,15.05,685.95,226.4,82.4,NONE,N/A,Network,SES-00189,Calibration required
LOG-0000063,2024-01-01 01:33:15,MCH-016,Plant-A,LINE-1,Machine Stop,Process,INFO,W-0193,Night,Current,299.55,901.68,155.1,197.0,NONE,N/A,Actuator,SES-00356,Firmware update
LOG-0000064,2024-01-01 01:34:34,MCH-003,Plant-C,LINE-10,Parameter Change,System,INFO,W-0148,Night,Pressure,831.15,690.47,266.2,293.1,E001,N/A,SCADA,SES-00045,Manual override
LOG-0000065,2024-01-01 01:36:07,MCH-014,Plant-B,LINE-1,Logout,Alert,INFO,W-0063,Morning,Current,560.52,937.17,373.1,127.0,NONE,No,Drive,SES-00273,Backup completed
LOG-0000066,2024-01-01 01:37:48,MCH-023,Plant-A,LINE-9,Job Start,User,INFO,W-0123,Morning,N/A,639.38,912.43,277.2,421.7,A003,N/A,Sensor,SES-00442,Threshold exceeded
LOG-0000067,2024-01-01 01:39:14,MCH-048,Plant-B,LINE-10,Alarm Triggered,Alert,INFO,W-0113,Afternoon,Voltage,137.58,753.01,91.2,214.3,NONE,No,Actuator,SES-00136,Sync successful
LOG-0000068,2024-01-01 01:40:54,MCH-006,Plant-C,LINE-5,Machine Stop,Alert,CRITICAL,W-0177,Morning,Current,11.02,219.16,38.8,110.5,NONE,N/A,Drive,SES-00331,Calibration required
LOG-0000069,2024-01-01 01:42:19,MCH-003,Plant-C,LINE-2,Maintenance Start,Process,INFO,W-0159,Night,Pressure,807.17,533.49,202.5,120.6,E002,N/A,SCADA,SES-00408,Firmware update
LOG-0000070,2024-01-01 01:43:56,MCH-032,Plant-B,LINE-7,Error,Operational,INFO,W-0173,Night,Torque,116.72,600.06,337.3,294.3,NONE,Yes,PLC,SES-00454,Backup completed
LOG-0000071,2024-01-01 01:45:26,MCH-035,Plant-C,LINE-3,Machine Stop,Process,INFO,W-0186,Night,Current,208.63,572.27,234.8,112.8,NONE,N/A,Network,SES-00462,Manual override
LOG-0000072,2024-01-01 01:46:59,MCH-042,Plant-C,LINE-9,Warning,Process,DEBUG,W-0061,Night,Current,531.19,625.12,367.2,688.7,NONE,N/A,HMI,SES-00239,Threshold exceeded
LOG-0000073,2024-01-01 01:48:29,MCH-049,Plant-A,LINE-6,Error,Alert,WARNING,W-0127,Morning,Pressure,177.16,618.28,230.7,71.3,NONE,Yes,Sensor,SES-00493,Threshold exceeded
LOG-0000074,2024-01-01 01:49:46,MCH-043,Plant-A,LINE-2,Login,System,WARNING,W-0173,Night,Temperature,326.55,343.84,134.0,84.9,NONE,Yes,Sensor,SES-00387,Threshold exceeded
LOG-0000075,2024-01-01 01:51:17,MCH-047,Plant-A,LINE-4,Maintenance Start,User,INFO,W-0059,Night,N/A,672.45,90.51,351.6,348.9,NONE,Yes,Drive,SES-00145,Backup completed
LOG-0000076,2024-01-01 01:52:32,MCH-029,Plant-A,LINE-10,Maintenance End,Process,INFO,W-0189,Night,Speed,276.07,818.69,85.3,467.6,NONE,N/A,SCADA,SES-00133,Threshold exceeded
LOG-0000077,2024-01-01 01:54:03,MCH-020,Plant-B,LINE-4,Parameter Change,System,INFO,W-0107,Morning,Torque,877.83,301.88,78.9,146.3,A004,N/A,Sensor,SES-00408,Threshold exceeded
LOG-0000078,2024-01-01 01:55:46,MCH-026,Plant-B,LINE-9,Info,Process,INFO,W-0192,Afternoon,Current,490.57,701.71,31.7,608.0,NONE,N/A,Drive,SES-00022,Connection timeout
LOG-0000079,2024-01-01 01:57:30,MCH-004,Plant-A,LINE-7,Error,System,DEBUG,W-0111,Morning,Temperature,28.22,895.48,188.3,416.5,NONE,N/A,Drive,SES-00032,Threshold exceeded
LOG-0000080,2024-01-01 01:58:46,MCH-015,Plant-C,LINE-7,Job End,Alert,INFO,W-0068,Morning,Torque,599.27,717.64,138.0,120.8,W002,Yes,Actuator,SES-00031,Normal operation
LOG-0000081,2024-01-01 02:00:04,MCH-020,Plant-C,LINE-1,Warning,Operational,INFO,W-0034,Morning,N/A,537.69,838.88,5.0,619.6,A001,N/A,HMI,SES-00163,Connection timeout
LOG-0000082,2024-01-01 02:01:33,MCH-044,Plant-A,LINE-6,Maintenance Start,Operational,INFO,W-0197,Afternoon,Current,885.15,172.2,311.0,115.2,W002,No,Database,SES-00130,Firmware update
LOG-0000083,2024-01-01 02:03:24,MCH-001,Plant-B,LINE-10,Alarm Triggered,Operational,INFO,W-0081,Afternoon,Torque,797.07,121.96,199.0,49.9,E001,N/A,PLC,SES-00352,Firmware update
LOG-0000084,2024-01-01 02:04:59,MCH-012,Plant-A,LINE-8,Error,System,INFO,W-0144,Night,Torque,273.84,232.97,37.5,451.2,NONE,Yes,HMI,SES-00128,Firmware update
LOG-0000085,2024-01-01 02:06:23,MCH-010,Plant-C,LINE-1,Logout,Process,DEBUG,W-0045,Night,Voltage,499.88,707.19,48.8,23.1,NONE,N/A,Database,SES-00329,Connection timeout
LOG-0000086,2024-01-01 02:07:54,MCH-022,Plant-B,LINE-7,Machine Stop,Process,WARNING,W-0139,Morning,Voltage,287.37,280.63,79.6,194.8,NONE,N/A,SCADA,SES-00047,Sync successful
LOG-0000087,2024-01-01 02:09:01,MCH-005,Plant-C,LINE-1,Parameter Change,System,INFO,W-0199,Afternoon,Temperature,609.63,548.19,139.4,51.0,A001,N/A,Actuator,SES-00499,Setpoint changed
LOG-0000088,2024-01-01 02:10:44,MCH-008,Plant-C,LINE-9,Login,Alert,ERROR,W-0107,Morning,Flow,504.82,697.15,57.2,95.2,A002,N/A,HMI,SES-00490,Normal operation
LOG-0000089,2024-01-01 02:12:12,MCH-011,Plant-B,LINE-8,Alarm Cleared,User,WARNING,W-0133,Night,Voltage,743.2,875.89,146.5,169.0,A001,Yes,Database,SES-00344,Sync successful
LOG-0000090,2024-01-01 02:13:57,MCH-042,Plant-A,LINE-3,Maintenance End,User,INFO,W-0058,Night,N/A,93.41,748.94,285.5,180.1,A005,Yes,PLC,SES-00083,Setpoint changed
LOG-0000091,2024-01-01 02:15:24,MCH-024,Plant-B,LINE-2,Machine Stop,System,INFO,W-0037,Night,Voltage,772.32,846.77,150.4,81.1,A004,Yes,HMI,SES-00066,Threshold exceeded
LOG-0000092,2024-01-01 02:16:54,MCH-048,Plant-C,LINE-10,Alarm Triggered,User,INFO,W-0088,Afternoon,Temperature,388.39,843.43,95.5,403.9,NONE,Yes,Database,SES-00084,Backup completed
LOG-0000093,2024-01-01 02:18:21,MCH-048,Plant-B,LINE-7,Warning,Operational,INFO,W-0162,Afternoon,Temperature,168.18,401.17,168.4,34.0,NONE,N/A,Actuator,SES-00365,Threshold exceeded
LOG-0000094,2024-01-01 02:19:31,MCH-020,Plant-B,LINE-8,Parameter Change,Process,INFO,W-0031,Morning,Speed,441.09,562.15,202.7,313.7,W002,Yes,Drive,SES-00423,Sync successful
LOG-0000095,2024-01-01 02:21:10,MCH-028,Plant-C,LINE-2,Info,System,WARNING,W-0130,Afternoon,Temperature,789.8,824.43,67.5,974.9,NONE,N/A,SCADA,SES-00214,Setpoint changed
LOG-0000096,2024-01-01 02:22:51,MCH-007,Plant-B,LINE-7,Job End,User,INFO,W-0010,Afternoon,Temperature,153.02,114.65,50.6,284.3,NONE,N/A,SCADA,SES-00154,Auto mode activated
LOG-0000097,2024-01-01 02:24:24,MCH-043,Plant-C,LINE-7,Shift Change,Process,INFO,W-0176,Morning,Pressure,182.18,899.47,330.5,161.7,NONE,Yes,PLC,SES-00299,Calibration required
LOG-0000098,2024-01-01 02:25:48,MCH-025,Plant-A,LINE-3,Machine Start,Operational,INFO,W-0014,Afternoon,Flow,990.03,87.43,155.4,21.2,NONE,N/A,SCADA,SES-00496,Auto mode activated
LOG-0000099,2024-01-01 02:27:29,MCH-031,Plant-B,LINE-7,Warning,Process,WARNING,W-0020,Night,Temperature,302.11,101.05,598.9,202.6,NONE,Yes,Network,SES-00096,Normal operation
LOG-0000100,2024-01-01 02:28:41,MCH-034,Plant-A,LINE-10,Alarm Cleared,System,INFO,W-0177,Morning,N/A,942.37,796.72,148.0,422.3,W001,Yes,Database,SES-00114,Calibration required
LOG-0000101,2024-01-01 02:30:28,MCH-026,Plant-C,LINE-9,Alarm Cleared,Alert,CRITICAL,W-0165,Morning,Temperature,872.82,225.79,15.6,41.5,NONE,Yes,PLC,SES-00080,Backup completed
LOG-0000102,2024-01-01 02:31:40,MCH-050,Plant-C,LINE-1,Alarm Cleared,System,WARNING,W-0002,Afternoon,Torque,11.16,163.22,735.8,96.0,E002,Yes,Actuator,SES-00227,Setpoint changed
LOG-0000103,2024-01-01 02:33:17,MCH-029,Plant-A,LINE-10,Job End,Process,WARNING,W-0146,Afternoon,Voltage,63.18,361.25,309.3,597.7,NONE,N/A,SCADA,SES-00085,Threshold exceeded
LOG-0000104,2024-01-01 02:34:51,MCH-002,Plant-B,LINE-10,Alarm Triggered,System,DEBUG,W-0054,Afternoon,Temperature,458.1,823.25,42.2,16.7,NONE,N/A,Drive,SES-00153,Sync successful
LOG-0000105,2024-01-01 02:36:20,MCH-010,Plant-B,LINE-8,Parameter Change,Process,INFO,W-0185,Night,Current,115.56,134.81,811.9,130.9,NONE,N/A,Network,SES-00325,Setpoint changed
LOG-0000106,2024-01-01 02:37:51,MCH-022,Plant-C,LINE-6,Info,User,ERROR,W-0098,Night,Voltage,169.5,713.85,33.9,180.9,NONE,N/A,Network,SES-00158,Connection timeout
LOG-0000107,2024-01-01 02:39:21,MCH-003,Plant-A,LINE-6,Logout,Process,INFO,W-0093,Morning,Flow,934.81,489.75,125.6,57.0,A003,N/A,HMI,SES-00399,Sync successful
LOG-0000108,2024-01-01 02:40:44,MCH-006,Plant-B,LINE-5,Alarm Cleared,Operational,WARNING,W-0185,Morning,N/A,913.86,247.35,121.5,851.4,NONE,N/A,Sensor,SES-00352,Firmware update
LOG-0000109,2024-01-01 02:42:24,MCH-041,Plant-C,LINE-1,Machine Stop,User,INFO,W-0042,Night,Pressure,834.76,48.04,406.8,806.8,NONE,Yes,Drive,SES-00325,Threshold exceeded
LOG-0000110,2024-01-01 02:43:31,MCH-027,Plant-A,LINE-2,Job End,Alert,WARNING,W-0170,Morning,Temperature,156.59,619.87,246.8,187.7,W002,N/A,Actuator,SES-00344,Connection timeout
LOG-0000111,2024-01-01 02:45:08,MCH-007,Plant-C,LINE-3,Parameter Change,Process,WARNING,W-0055,Morning,N/A,486.81,502.85,699.9,95.4,A004,Yes,HMI,SES-00184,Auto mode activated
LOG-0000112,2024-01-01 02:46:34,MCH-002,Plant-B,LINE-9,Warning,System,DEBUG,W-0115,Afternoon,Voltage,521.23,511.06,91.3,710.5,A004,Yes,Sensor,SES-00448,Threshold exceeded
LOG-0000113,2024-01-01 02:48:11,MCH-039,Plant-B,LINE-2,Logout,Process,ERROR,W-0131,Night,Flow,90.44,582.02,656.0,24.3,NONE,Yes,SCADA,SES-00018,Manual override
LOG-0000114,2024-01-01 02:49:37,MCH-040,Plant-A,LINE-7,Maintenance End,Process,DEBUG,W-0152,Afternoon,Torque,619.74,6.89,20.9,454.9,NONE,N/A,Drive,SES-00451,Auto mode activated
LOG-0000115,2024-01-01 02:51:22,MCH-042,Plant-B,LINE-6,Job Start,Alert,DEBUG,W-0065,Night,N/A,928.96,342.64,36.4,879.5,NONE,N/A,Drive,SES-00490,Firmware update
LOG-0000116,2024-01-01 02:52:44,MCH-023,Plant-A,LINE-1,Maintenance End,Alert,INFO,W-0195,Morning,N/A,121.55,726.97,422.1,88.1,E002,Yes,Drive,SES-00114,Threshold exceeded
LOG-0000117,2024-01-01 02:54:29,MCH-038,Plant-B,LINE-10,Info,Operational,INFO,W-0072,Afternoon,Current,276.68,46.35,448.3,175.3,NONE,N/A,SCADA,SES-00258,Calibration required
LOG-0000118,2024-01-01 02:55:44,MCH-048,Plant-B,LINE-5,Info,Process,ERROR,W-0003,Afternoon,Temperature,138.71,52.04,139.1,508.8,NONE,Yes,Database,SES-00296,Firmware update
LOG-0000119,2024-01-01 02:57:13,MCH-044,Plant-C,LINE-8,Alarm Cleared,Process,WARNING,W-0109,Night,Voltage,468.65,293.56,124.5,95.1,NONE,N/A,Sensor,SES-00460,Sync successful
LOG-0000120,2024-01-01 02:58:48,MCH-040,Plant-B,LINE-6,Job End,Operational,INFO,W-0018,Afternoon,Flow,538.2,813.07,245.1,302.4,NONE,N/A,Actuator,SES-00107,Firmware update
LOG-0000121,2024-01-01 03:00:22,MCH-026,Plant-B,LINE-7,Alarm Triggered,Alert,INFO,W-0067,Morning,Speed,174.23,749.65,850.4,56.8,NONE,Yes,PLC,SES-00156,Calibration required
LOG-0000122,2024-01-01 03:01:43,MCH-011,Plant-A,LINE-7,Error,User,INFO,W-0171,Afternoon,Speed,817.58,296.44,80.4,205.6,A002,N/A,HMI,SES-00247,Threshold exceeded
LOG-0000123,2024-01-01 03:03:15,MCH-038,Plant-B,LINE-2,Info,Process,ERROR,W-0129,Morning,Temperature,78.74,580.35,55.8,72.6,E001,N/A,Database,SES-00218,Calibration required
LOG-0000124,2024-01-01 03:04:52,MCH-035,Plant-B,LINE-7,Error,User,INFO,W-0133,Morning,Pressure,28.32,776.72,55.4,16.7,A005,No,Actuator,SES-00335,Backup completed
LOG-0000125,2024-01-01 03:06:07,MCH-039,Plant-B,LINE-7,Error,Process,WARNING,W-0002,Morning,N/A,247.24,99.33,73.3,66.0,NONE,Yes,SCADA,SES-00144,Threshold exceeded
LOG-0000126,2024-01-01 03:07:34,MCH-045,Plant-C,LINE-3,Maintenance Start,System,INFO,W-0075,Afternoon,Pressure,668.46,401.12,38.1,205.8,W001,Yes,Drive,SES-00491,Connection timeout
LOG-0000127,2024-01-01 03:09:26,MCH-022,Plant-A,LINE-3,Login,User,INFO,W-0053,Morning,Pressure,675.09,416.36,199.0,173.8,A005,N/A,SCADA,SES-00319,Auto mode activated
LOG-0000128,2024-01-01 03:10:41,MCH-027,Plant-C,LINE-3,Alarm Cleared,System,INFO,W-0049,Afternoon,Torque,936.84,732.07,27.9,334.0,NONE,N/A,Drive,SES-00300,Setpoint changed
LOG-0000129,2024-01-01 03:12:28,MCH-026,Plant-B,LINE-1,Machine Stop,Operational,DEBUG,W-0073,Morning,Temperature,328.52,194.39,461.3,322.2,NONE,No,Sensor,SES-00165,Normal operation
