production_id,date,shift,plant,production_line,machine_id,product_id,planned_units,actual_units,defective_units,scrap_units,cycle_time_sec,oee_pct,availability_pct,performance_pct,quality_pct,raw_material_used_kg,batch_id,operator_id,stoppage_minutes
PRD-000015,2024-02-19,Night,Plant-C,LINE-7,MCH-035,PROD-010,818,1322,82,43,50.96,64.24,87.74,78.13,97.9,485.97,BATCH-0000015,W-0005,11.6
PRD-000016,2024-09-10,Night,Plant-A,LINE-10,MCH-004,PROD-005,579,1096,69,43,54.05,81.39,79.78,100.0,97.48,540.04,BATCH-0000016,W-0017,27.6
PRD-000017,2024-05-04,Afternoon,Plant-C,LINE-8,MCH-032,PROD-005,1648,1774,39,7,47.91,71.41,87.75,87.83,95.51,573.96,BATCH-0000017,W-0062,15.4
PRD-000018,2024-03-10,Night,Plant-A,LINE-1,MCH-044,PROD-023,507,1768,89,27,38.64,81.0,93.69,82.02,95.77,578.84,BATCH-0000018,W-0165,57.7
PRD-000019,2024-06-19,Morning,Plant-B,LINE-5,MCH-029,PROD-024,1793,700,74,5,52.02,82.47,88.1,84.5,99.1,420.59,BATCH-0000019,W-0167,10.7
PRD-000020,2024-10-15,Morning,Plant-C,LINE-8,MCH-015,PROD-015,1737,1396,80,33,44.87,80.06,100.0,78.16,99.35,485.67,BATCH-0000020,W-0035,46.8
PRD-000021,2024-01-07,Afternoon,Plant-B,LINE-5,MCH-015,PROD-022,1969,469,27,1,50.69,68.17,90.6,92.61,93.12,517.22,BATCH-0000021,W-0041,21.0
PRD-000022,2024-01-14,Afternoon,Plant-A,LINE-4,MCH-034,PROD-019,1237,1189,19,11,46.15,70.95,85.13,85.06,96.64,455.79,BATCH-0000022,W-0081,5.3
PRD-000023,2024-08-24,Afternoon,Plant-B,LINE-9,MCH-025,PROD-022,1748,706,69,16,18.45,76.7,99.83,100.0,97.03,579.52,BATCH-0000023,W-0150,11.5
PRD-000024,2024-04-20,Afternoon,Plant-B,LINE-9,MCH-037,PROD-023,944,566,16,49,41.09,76.9,84.62,84.72,99.72,408.53,BATCH-0000024,W-0051,19.8
PRD-000025,2024-11-11,Night,Plant-A,LINE-2,MCH-011,PROD-013,1674,680,5,5,62.13,76.89,95.38,100.0,98.3,421.29,BATCH-0000025,W-0003,22.0
PRD-000026,2024-08-24,Night,Plant-C,LINE-2,MCH-022,PROD-004,1323,1823,62,1,47.2,77.48,90.61,79.67,97.08,483.99,BATCH-0000026,W-0139,7.6
PRD-000027,2024-02-15,Morning,Plant-C,LINE-10,MCH-009,PROD-021,1183,1673,58,17,41.16,58.9,87.97,93.39,95.96,498.05,BATCH-0000027,W-0104,15.5
PRD-000028,2024-04-07,Afternoon,Plant-A,LINE-5,MCH-031,PROD-012,1085,964,86,4,50.47,69.42,80.68,89.37,98.39,677.02,BATCH-0000028,W-0112,10.2
PRD-000029,2024-01-18,Night,Plant-C,LINE-10,MCH-016,PROD-011,1631,2014,2,21,54.78,81.8,82.76,100.0,98.34,578.46,BATCH-0000029,W-0039,47.0
PRD-000030,2024-12-01,Morning,Plant-B,LINE-8,MCH-041,PROD-004,1581,1847,21,29,54.6,72.75,86.91,87.32,98.37,721.33,BATCH-0000030,W-0050,9.7
PRD-000031,2024-08-19,Afternoon,Plant-B,LINE-4,MCH-021,PROD-024,1748,2029,16,12,49.07,76.64,91.57,93.85,96.04,464.94,BATCH-0000031,W-0134,20.5
PRD-000032,2024-03-28,Night,Plant-C,LINE-4,MCH-040,PROD-006,1873,687,87,45,50.14,88.44,87.86,86.24,96.38,359.62,BATCH-0000032,W-0010,0.7
PRD-000033,2024-03-23,Morning,Plant-B,LINE-8,MCH-031,PROD-023,547,1209,44,21,54.13,83.65,84.42,92.55,100.0,660.33,BATCH-0000033,W-0029,1.1
PRD-000034,2024-02-17,Night,Plant-A,LINE-2,MCH-024,PROD-003,1174,780,11,11,33.5,77.42,93.86,95.39,96.04,494.51,BATCH-0000034,W-0109,13.1
PRD-000035,2024-02-25,Night,Plant-B,LINE-4,MCH-039,PROD-002,1551,2099,85,6,56.48,65.06,91.88,93.33,98.98,503.52,BATCH-0000035,W-0042,41.6
PRD-000036,2024-04-14,Night,Plant-C,LINE-4,MCH-005,PROD-018,999,2007,97,11,57.96,94.87,85.3,88.65,95.92,580.8,BATCH-0000036,W-0007,27.4
PRD-000037,2024-10-03,Morning,Plant-B,LINE-3,MCH-017,PROD-018,1286,1291,41,25,48.98,65.15,87.16,91.36,93.77,515.89,BATCH-0000037,W-0049,14.2
PRD-000038,2024-07-13,Morning,Plant-A,LINE-5,MCH-026,PROD-015,725,1205,50,24,51.37,81.52,89.62,100.0,100.0,440.41,BATCH-0000038,W-0129,46.1
PRD-000039,2024-10-16,Night,Plant-C,LINE-3,MCH-006,PROD-017,1110,1190,51,26,50.04,90.5,90.35,81.6,98.65,502.26,BATCH-0000039,W-0069,4.7
PRD-000040,2024-01-22,Morning,Plant-A,LINE-5,MCH-004,PROD-009,933,1126,34,40,46.58,87.78,86.17,80.65,95.27,432.8,BATCH-0000040,W-0013,3.6
PRD-000041,2024-09-17,Night,Plant-B,LINE-4,MCH-033,PROD-007,691,536,2,8,35.51,73.92,91.54,92.23,93.79,460.23,BATCH-0000041,W-0152,23.5
PRD-000042,2024-08-29,Night,Plant-A,LINE-10,MCH-010,PROD-011,1680,1575,46,32,52.27,78.02,86.51,92.32,96.69,524.49,BATCH-0000042,W-0125,61.9
PRD-000043,2024-02-08,Night,Plant-B,LINE-6,MCH-038,PROD-013,1837,475,92,42,28.1,85.26,91.4,91.62,96.68,364.61,BATCH-0000043,W-0089,0.1
PRD-000044,2024-12-01,Afternoon,Plant-C,LINE-9,MCH-021,PROD-009,1959,2084,4,11,42.25,72.47,86.0,93.89,93.76,573.28,BATCH-0000044,W-0167,13.9
PRD-000045,2024-07-18,Night,Plant-C,LINE-7,MCH-025,PROD-008,1305,1683,45,36,42.38,84.78,84.87,86.97,98.34,587.26,BATCH-0000045,W-0114,23.0
PRD-000046,2024-09-10,Night,Plant-C,LINE-6,MCH-021,PROD-009,1060,1114,58,32,52.08,54.62,95.16,87.78,96.84,539.96,BATCH-0000046,W-0149,27.9
PRD-000047,2024-03-13,Night,Plant-C,LINE-2,MCH-041,PROD-025,810,1326,36,33,52.72,76.07,97.27,90.8,94.41,585.82,BATCH-0000047,W-0008,27.3
PRD-000048,2024-04-05,Night,Plant-C,LINE-10,MCH-032,PROD-015,1837,1876,92,32,48.56,77.73,87.84,90.76,97.5,511.64,BATCH-0000048,W-0177,16.0
PRD-000049,2024-03-02,Morning,Plant-A,LINE-8,MCH-029,PROD-022,1470,1392,35,44,50.81,73.48,89.85,92.05,96.03,568.93,BATCH-0000049,W-0053,46.8
PRD-000050,2024-01-13,Afternoon,Plant-A,LINE-9,MCH-013,PROD-009,1595,1532,74,1,36.18,85.79,89.25,90.47,98.34,451.26,BATCH-0000050,W-0077,27.8
PRD-000051,2024-05-09,Night,Plant-A,LINE-8,MCH-047,PROD-007,984,1667,75,0,47.16,72.46,89.38,99.52,93.66,419.16,BATCH-0000051,W-0156,8.9
PRD-000052,2024-06-10,Night,Plant-A,LINE-9,MCH-048,PROD-013,590,1417,65,1,47.85,69.9,85.63,79.23,98.46,448.08,BATCH-0000052,W-0129,10.2
PRD-000053,2024-12-29,Night,Plant-A,LINE-3,MCH-039,PROD-004,1817,1589,32,10,46.17,63.74,89.18,100.0,93.12,469.45,BATCH-0000053,W-0124,7.3
PRD-000054,2024-05-23,Night,Plant-A,LINE-5,MCH-035,PROD-002,1633,1064,19,15,32.53,91.85,91.35,93.28,97.2,404.95,BATCH-0000054,W-0118,10.5
PRD-000055,2024-07-27,Morning,Plant-A,LINE-3,MCH-008,PROD-012,1974,497,52,6,33.51,73.4,83.62,86.65,98.86,543.73,BATCH-0000055,W-0072,6.2
PRD-000056,2024-02-27,Afternoon,Plant-B,LINE-3,MCH-047,PROD-007,1525,477,43,43,55.47,59.52,78.06,88.24,96.74,603.22,BATCH-0000056,W-0121,48.3
PRD-000057,2024-09-10,Night,Plant-B,LINE-10,MCH-018,PROD-025,758,1588,80,32,45.47,92.04,96.17,89.37,95.09,598.25,BATCH-0000057,W-0166,18.6
PRD-000058,2024-02-26,Night,Plant-A,LINE-6,MCH-004,PROD-015,621,418,4,42,66.71,80.6,86.29,87.32,97.97,506.43,BATCH-0000058,W-0111,15.2
PRD-000059,2024-10-18,Night,Plant-C,LINE-10,MCH-046,PROD-010,1789,1964,11,41,54.05,87.98,94.34,90.22,99.23,591.57,BATCH-0000059,W-0147,12.2
PRD-000060,2024-03-26,Afternoon,Plant-C,LINE-5,MCH-029,PROD-006,1612,728,12,4,28.29,80.68,97.21,91.5,98.1,665.17,BATCH-0000060,W-0135,8.2
PRD-000061,2024-10-07,Morning,Plant-B,LINE-1,MCH-027,PROD-016,1783,1864,77,41,55.57,89.67,90.37,87.32,98.06,536.27,BATCH-0000061,W-0021,6.7
PRD-000062,2024-02-05,Afternoon,Plant-C,LINE-10,MCH-012,PROD-013,854,992,26,17,54.56,84.49,85.77,84.99,96.51,609.61,BATCH-0000062,W-0064,12.5
PRD-000063,2024-08-30,Night,Plant-A,LINE-4,MCH-037,PROD-014,1022,1762,81,36,47.43,80.92,93.04,85.03,96.1,411.36,BATCH-0000063,W-0140,3.2
PRD-000064,2024-01-04,Night,Plant-C,LINE-1,MCH-001,PROD-016,1668,1889,93,46,54.01,100.0,99.82,78.3,97.78,432.63,BATCH-0000064,W-0164,26.0
PRD-000065,2024-08-20,Afternoon,Plant-A,LINE-7,MCH-040,PROD-013,913,1028,5,11,37.0,81.98,92.96,90.1,96.0,567.19,BATCH-0000065,W-0089,0.4
PRD-000066,2024-05-11,Night,Plant-B,LINE-7,MCH-035,PROD-025,1879,2082,1,6,49.36,82.94,87.43,90.46,95.41,437.53,BATCH-0000066,W-0065,1.3
PRD-000067,2024-06-05,Night,Plant-A,LINE-4,MCH-040,PROD-013,598,1064,96,49,46.4,69.72,92.78,89.3,96.64,611.37,BATCH-0000067,W-0192,2.4
PRD-000068,2024-05-05,Afternoon,Plant-B,LINE-3,MCH-047,PROD-003,1337,876,59,16,43.47,86.54,91.09,87.69,97.2,463.27,BATCH-0000068,W-0007,26.8
PRD-000069,2024-07-27,Afternoon,Plant-A,LINE-8,MCH-012,PROD-016,1997,1375,12,34,48.98,71.02,90.8,94.45,98.7,489.24,BATCH-0000069,W-0006,15.4
PRD-000070,2024-01-28,Afternoon,Plant-A,LINE-9,MCH-049,PROD-017,1239,1367,26,40,67.81,74.79,86.23,84.07,98.91,541.57,BATCH-0000070,W-0078,4.0
PRD-000071,2024-03-15,Night,Plant-A,LINE-4,MCH-030,PROD-016,1448,1688,50,46,43.24,85.1,88.88,94.41,95.28,396.54,BATCH-0000071,W-0106,16.2
PRD-000072,2024-04-25,Night,Plant-B,LINE-5,MCH-045,PROD-019,881,1514,58,24,42.38,72.41,100.0,79.21,94.87,479.83,BATCH-0000072,W-0154,11.5
PRD-000073,2024-06-03,Morning,Plant-B,LINE-2,MCH-003,PROD-018,653,1916,33,47,28.66,87.35,92.87,77.75,96.75,669.8,BATCH-0000073,W-0172,23.6
PRD-000074,2024-05-30,Afternoon,Plant-C,LINE-2,MCH-032,PROD-014,1241,1732,21,19,42.49,68.17,91.63,91.21,96.16,370.19,BATCH-0000074,W-0098,53.5
PRD-000075,2024-03-08,Morning,Plant-A,LINE-1,MCH-048,PROD-013,1310,775,59,42,46.36,66.98,88.66,97.33,98.74,316.89,BATCH-0000075,W-0161,20.7
PRD-000076,2024-04-04,Morning,Plant-B,LINE-3,MCH-029,PROD-012,1626,758,34,6,45.13,77.23,81.29,72.35,95.2,663.26,BATCH-0000076,W-0121,15.6
PRD-000077,2024-07-03,Morning,Plant-C,LINE-7,MCH-024,PROD-021,1589,979,15,3,58.53,67.38,85.78,81.49,95.25,396.07,BATCH-0000077,W-0106,9.5
PRD-000078,2024-03-14,Night,Plant-A,LINE-8,MCH-031,PROD-013,1584,941,54,45,52.36,77.94,83.24,98.48,99.18,647.18,BATCH-0000078,W-0118,3.8
PRD-000079,2024-02-17,Night,Plant-B,LINE-4,MCH-033,PROD-025,650,1859,65,35,53.06,91.98,97.19,82.12,98.26,469.89,BATCH-0000079,W-0129,5.9
PRD-000080,2024-11-27,Night,Plant-B,LINE-9,MCH-042,PROD-013,1089,1631,78,16,43.19,71.26,86.36,85.54,98.71,549.53,BATCH-0000080,W-0164,10.6
PRD-000081,2024-07-22,Morning,Plant-C,LINE-5,MCH-025,PROD-013,872,1355,88,22,38.31,71.79,76.85,89.62,96.91,659.63,BATCH-0000081,W-0147,1.4
PRD-000082,2024-01-08,Afternoon,Plant-A,LINE-10,MCH-029,PROD-003,1142,1356,27,25,34.87,64.36,86.06,85.53,100.0,599.53,BATCH-0000082,W-0104,26.7
PRD-000083,2024-03-14,Night,Plant-A,LINE-8,MCH-039,PROD-002,1111,1988,5,37,42.2,74.85,98.08,85.94,96.93,429.42,BATCH-0000083,W-0186,3.9
PRD-000084,2024-06-24,Morning,Plant-B,LINE-1,MCH-047,PROD-019,651,1783,34,47,46.21,85.6,93.06,90.91,98.24,494.67,BATCH-0000084,W-0081,4.4
PRD-000085,2024-04-02,Night,Plant-C,LINE-5,MCH-030,PROD-006,834,1161,22,15,50.76,83.18,90.49,94.2,97.42,373.63,BATCH-0000085,W-0168,13.2
PRD-000086,2024-04-19,Morning,Plant-C,LINE-10,MCH-015,PROD-003,1540,1064,54,4,46.38,87.31,88.81,82.69,91.49,496.15,BATCH-0000086,W-0167,21.1
PRD-000087,2024-10-27,Morning,Plant-C,LINE-5,MCH-029,PROD-015,644,1796,26,49,41.8,71.96,83.43,90.79,97.16,544.27,BATCH-0000087,W-0200,0.1
PRD-000088,2024-05-18,Night,Plant-A,LINE-10,MCH-026,PROD-007,1014,685,70,23,17.89,79.67,90.39,92.36,96.38,317.79,BATCH-0000088,W-0165,0.5
PRD-000089,2024-02-12,Morning,Plant-B,LINE-4,MCH-043,PROD-021,1121,1049,88,29,33.02,95.11,86.4,89.03,96.3,393.8,BATCH-0000089,W-0069,11.3
PRD-000090,2024-03-13,Morning,Plant-B,LINE-4,MCH-043,PROD-022,1668,1715,96,10,52.92,60.83,87.29,91.18,93.59,598.04,BATCH-0000090,W-0172,3.7
PRD-000091,2024-12-06,Night,Plant-C,LINE-10,MCH-041,PROD-004,1538,491,6,43,38.45,71.89,82.93,85.96,98.49,578.83,BATCH-0000091,W-0028,0.6
PRD-000092,2024-01-09,Morning,Plant-B,LINE-9,MCH-045,PROD-006,1789,1182,19,41,33.92,63.65,100.0,86.25,95.96,704.48,BATCH-0000092,W-0105,52.6
PRD-000093,2024-10-25,Afternoon,Plant-C,LINE-9,MCH-034,PROD-005,1918,1954,40,46,16.27,85.22,83.92,83.69,95.64,390.74,BATCH-0000093,W-0106,53.7
PRD-000094,2024-05-19,Morning,Plant-B,LINE-7,MCH-038,PROD-009,1025,1397,47,37,49.66,89.65,89.38,86.64,98.09,363.09,BATCH-0000094,W-0070,18.4
PRD-000095,2024-06-05,Morning,Plant-C,LINE-7,MCH-007,PROD-015,903,1626,96,25,60.02,83.42,79.41,100.0,98.58,532.17,BATCH-0000095,W-0143,15.1
PRD-000096,2024-08-16,Afternoon,Plant-C,LINE-10,MCH-009,PROD-006,1479,764,22,0,51.69,77.03,91.33,81.71,99.71,487.79,BATCH-0000096,W-0196,76.8
PRD-000097,2024-08-30,Night,Plant-A,LINE-1,MCH-047,PROD-001,780,1093,82,37,62.31,80.34,85.51,95.68,98.5,535.56,BATCH-0000097,W-0055,17.8
PRD-000098,2024-04-02,Morning,Plant-C,LINE-1,MCH-013,PROD-015,821,1352,99,37,35.39,66.17,94.82,95.68,95.69,532.32,BATCH-0000098,W-0092,6.3
PRD-000099,2024-07-11,Night,Plant-A,LINE-7,MCH-008,PROD-013,1907,1582,16,42,41.53,67.7,90.97,90.96,97.67,343.18,BATCH-0000099,W-0152,10.5
PRD-000100,2024-11-11,Morning,Plant-C,LINE-1,MCH-026,PROD-004,1135,1316,8,25,36.32,66.81,91.23,80.22,97.7,534.94,BATCH-0000100,W-0011,8.3
PRD-000101,2024-01-12,Night,Plant-A,LINE-10,MCH-025,PROD-010,1375,634,58,29,50.13,85.11,91.41,91.74,98.51,573.04,BATCH-0000101,W-0151,7.2
PRD-000102,2024-04-16,Night,Plant-C,LINE-8,MCH-035,PROD-013,1296,1563,33,9,61.89,71.14,88.51,91.4,100.0,472.6,BATCH-0000102,W-0123,4.4
PRD-000103,2024-12-11,Morning,Plant-A,LINE-4,MCH-019,PROD-011,1622,1520,48,48,45.08,79.24,86.29,82.64,94.29,586.67,BATCH-0000103,W-0065,2.2
PRD-000104,2024-04-03,Night,Plant-C,LINE-1,MCH-012,PROD-001,1441,1827,65,42,51.97,71.27,77.45,86.15,100.0,596.8,BATCH-0000104,W-0081,4.0
PRD-000105,2024-08-03,Night,Plant-A,LINE-8,MCH-039,PROD-015,1993,2048,99,30,43.07,80.71,89.0,89.4,94.36,640.04,BATCH-0000105,W-0130,17.1
PRD-000106,2024-11-24,Morning,Plant-A,LINE-4,MCH-047,PROD-010,1201,1503,62,41,44.86,72.23,96.07,91.77,94.23,520.6,BATCH-0000106,W-0052,2.7
PRD-000107,2024-11-16,Afternoon,Plant-A,LINE-7,MCH-020,PROD-007,1841,772,46,47,29.09,68.02,94.62,92.48,96.97,547.24,BATCH-0000107,W-0196,31.3
PRD-000108,2024-06-29,Afternoon,Plant-B,LINE-9,MCH-025,PROD-022,592,1627,27,5,40.79,74.12,93.76,99.3,96.82,571.99,BATCH-0000108,W-0108,3.3
PRD-000109,2024-06-10,Night,Plant-C,LINE-1,MCH-030,PROD-002,1260,1465,58,15,59.3,92.66,97.27,79.59,96.27,512.08,BATCH-0000109,W-0080,9.5
PRD-000110,2024-02-18,Night,Plant-A,LINE-10,MCH-013,PROD-007,1777,1296,23,22,47.8,82.08,89.19,90.9,98.94,608.15,BATCH-0000110,W-0026,1.8
PRD-000111,2024-04-25,Afternoon,Plant-A,LINE-5,MCH-001,PROD-008,1488,1783,97,13,51.09,83.77,88.29,79.08,97.18,492.67,BATCH-0000111,W-0004,29.1
PRD-000112,2024-03-07,Afternoon,Plant-B,LINE-3,MCH-017,PROD-006,1484,1304,47,46,49.81,77.59,88.32,85.17,96.56,366.15,BATCH-0000112,W-0070,33.9
PRD-000113,2024-08-28,Night,Plant-A,LINE-8,MCH-026,PROD-004,1879,1256,62,9,57.6,85.8,84.99,90.74,97.96,646.03,BATCH-0000113,W-0060,6.1
PRD-000114,2024-07-28,Afternoon,Plant-A,LINE-6,MCH-015,PROD-003,503,1679,79,41,39.44,64.04,86.51,84.92,92.63,411.06,BATCH-0000114,W-0098,25.8
PRD-000115,2024-02-10,Morning,Plant-B,LINE-5,MCH-029,PROD-007,1997,1074,28,5,45.7,85.49,95.88,100.0,95.47,600.33,BATCH-0000115,W-0172,9.8
PRD-000116,2024-11-29,Morning,Plant-B,LINE-7,MCH-014,PROD-019,1461,786,80,21,54.9,60.24,98.54,90.78,95.44,412.05,BATCH-0000116,W-0111,12.0
PRD-000117,2024-08-26,Afternoon,Plant-C,LINE-9,MCH-026,PROD-016,734,428,59,43,63.08,57.5,84.88,100.0,98.95,400.45,BATCH-0000117,W-0081,9.3
PRD-000118,2024-11-04,Night,Plant-A,LINE-2,MCH-010,PROD-011,768,931,75,17,36.65,83.39,93.11,86.46,95.76,506.73,BATCH-0000118,W-0019,60.5
PRD-000119,2024-06-02,Morning,Plant-B,LINE-2,MCH-001,PROD-005,1586,1324,21,7,51.7,79.84,96.75,85.83,97.42,498.46,BATCH-0000119,W-0137,4.0
PRD-000120,2024-10-12,Morning,Plant-C,LINE-6,MCH-039,PROD-016,1491,929,45,25,44.84,89.07,87.22,87.04,95.84,414.72,BATCH-0000120,W-0113,38.0
PRD-000121,2024-01-13,Morning,Plant-B,LINE-8,MCH-013,PROD-017,532,978,70,17,44.06,80.55,89.81,82.17,95.33,419.46,BATCH-0000121,W-0049,2.0
PRD-000122,2024-12-12,Morning,Plant-C,LINE-10,MCH-005,PROD-019,804,932,97,11,53.3,77.51,97.05,83.33,98.97,638.47,BATCH-0000122,W-0114,42.4
PRD-000123,2024-03-09,Afternoon,Plant-A,LINE-5,MCH-025,PROD-003,672,610,17,45,33.32,70.54,89.61,87.62,98.69,560.05,BATCH-0000123,W-0079,11.0
PRD-000124,2024-05-18,Morning,Plant-C,LINE-8,MCH-032,PROD-021,1370,956,43,41,44.39,75.96,88.15,75.16,98.28,521.01,BATCH-0000124,W-0133,2.7
PRD-000125,2024-06-25,Afternoon,Plant-C,LINE-10,MCH-033,PROD-002,1222,1469,13,46,48.37,86.06,92.84,86.94,94.61,577.23,BATCH-0000125,W-0153,7.8
PRD-000126,2024-12-20,Afternoon,Plant-C,LINE-7,MCH-003,PROD-007,1298,1476,89,5,47.38,74.27,86.78,82.74,97.88,619.25,BATCH-0000126,W-0146,8.5
PRD-000127,2024-07-02,Morning,Plant-B,LINE-2,MCH-015,PROD-005,1219,530,11,21,44.95,75.06,97.62,92.21,97.62,677.18,BATCH-0000127,W-0180,4.0
PRD-000128,2024-10-26,Morning,Plant-C,LINE-3,MCH-028,PROD-003,934,1350,53,26,31.85,87.33,79.2,94.4,97.76,557.19,BATCH-0000128,W-0120,3.8
PRD-000129,2024-10-03,Night,Plant-A,LINE-6,MCH-020,PROD-020,1721,1327,28,27,42.95,66.43,92.73,97.06,95.01,544.67,BATCH-0000129,W-0175,5.3
PRD-000130,2024-06-28,Afternoon,Plant-A,LINE-8,MCH-016,PROD-023,1799,1847,26,10,67.26,84.18,87.5,90.74,96.56,411.27,BATCH-0000130,W-0109,24.6
PRD-000131,2024-02-27,Morning,Plant-C,LINE-8,MCH-022,PROD-020,978,1602,22,1,43.92,92.11,79.96,87.26,95.58,502.67,BATCH-0000131,W-0056,45.9
PRD-000132,2024-07-14,Morning,Plant-A,LINE-10,MCH-014,PROD-018,898,1207,1,13,43.82,80.24,84.19,100.0,95.24,446.14,BATCH-0000132,W-0155,8.4
PRD-000133,2024-01-19,Night,Plant-A,LINE-8,MCH-015,PROD-006,800,1477,87,14,39.63,80.15,91.82,83.83,96.07,573.31,BATCH-0000133,W-0066,8.6
PRD-000134,2024-03-08,Afternoon,Plant-A,LINE-9,MCH-033,PROD-003,920,1512,64,7,63.67,84.43,90.26,72.89,100.0,292.08,BATCH-0000134,W-0093,23.1
PRD-000135,2024-02-24,Night,Plant-A,LINE-4,MCH-008,PROD-015,1437,1388,74,9,58.78,85.44,89.59,92.21,97.09,420.97,BATCH-0000135,W-0170,4.5
PRD-000136,2024-02-24,Morning,Plant-C,LINE-3,MCH-047,PROD-015,1315,1632,75,36,42.62,81.09,84.23,85.34,97.83,595.23,BATCH-0000136,W-0085,42.9
PRD-000137,2024-10-21,Night,Plant-A,LINE-9,MCH-011,PROD-001,1586,660,68,7,54.43,92.46,88.59,90.91,100.0,659.64,BATCH-0000137,W-0085,50.5
PRD-000138,2024-12-07,Morning,Plant-B,LINE-10,MCH-026,PROD-019,1064,1644,21,17,49.86,89.51,100.0,86.59,97.41,617.55,BATCH-0000138,W-0034,3.2
PRD-000139,2024-02-26,Night,Plant-C,LINE-4,MCH-037,PROD-022,1841,908,33,5,40.05,70.02,86.43,84.89,99.33,334.08,BATCH-0000139,W-0035,20.8
PRD-000140,2024-06-12,Night,Plant-B,LINE-5,MCH-050,PROD-008,504,555,97,16,33.59,75.26,90.46,91.64,97.38,369.74,BATCH-0000140,W-0038,5.9
PRD-000141,2024-10-01,Morning,Plant-A,LINE-5,MCH-012,PROD-005,1177,1942,18,23,53.12,71.43,92.87,84.05,98.4,564.82,BATCH-0000141,W-0101,9.3
PRD-000142,2024-10-24,Afternoon,Plant-A,LINE-8,MCH-026,PROD-002,831,802,76,30,50.53,80.28,83.31,80.68,94.16,322.73,BATCH-0000142,W-0006,1.7
PRD-000143,2024-02-16,Morning,Plant-A,LINE-1,MCH-004,PROD-006,1708,717,50,46,53.51,84.73,94.78,87.9,100.0,376.54,BATCH-0000143,W-0004,4.7
PRD-000144,2024-03-28,Afternoon,Plant-C,LINE-6,MCH-035,PROD-006,1532,1273,44,6,61.03,70.96,91.95,92.29,97.38,517.6,BATCH-0000144,W-0052,1.1
PRD-000145,2024-08-08,Night,Plant-B,LINE-3,MCH-027,PROD-022,1898,1988,42,3,61.51,59.23,86.1,94.8,98.88,520.18,BATCH-0000145,W-0001,3.3
PRD-000146,2024-10-03,Afternoon,Plant-B,LINE-4,MCH-044,PROD-007,1473,927,38,28,36.01,69.74,89.88,92.34,96.63,503.53,BATCH-0000146,W-0124,4.8
PRD-000147,2024-07-26,Morning,Plant-C,LINE-5,MCH-009,PROD-019,1622,582,80,28,65.64,90.04,85.95,92.87,100.0,604.03,BATCH-0000147,W-0034,7.5
