maintenance_id,machine_id,plant,maintenance_type,component_replaced,scheduled_date,actual_date,downtime_hours,labor_hours,parts_cost_USD,labor_cost_USD,technician_id,priority,status,failure_cause,work_order_id,notes
MNT-000011,MCH-004,Plant-B,Predictive,Valve,2024-12-29,2024-03-09,4.33,0.72,2075.55,399.54,TECH-004,High,In Progress,Wear,WO-0000011,Post-incident repair
MNT-000012,MCH-021,Plant-C,Preventive,Motor,2024-08-26,2024-07-21,4.95,2.14,85.24,650.74,TECH-016,High,Completed,Corrosion,WO-0000012,Scheduled replacement
MNT-000013,MCH-014,Plant-C,Preventive,Sensor,2024-08-28,2024-04-20,1.44,6.15,269.07,1026.82,TECH-001,Low,Completed,Lubrication,WO-0000013,Post-incident repair
MNT-000014,MCH-021,Plant-A,Preventive,Valve,2024-04-28,2024-12-04,7.28,2.77,133.85,608.62,TECH-002,Medium,Scheduled,Corrosion,WO-0000014,Post-incident repair
MNT-000015,MCH-023,Plant-C,Corrective,Pump,2024-04-24,2024-08-19,0.9,2.9,831.34,1303.73,TECH-026,High,Completed,Lubrication,WO-0000015,Upgrade
MNT-000016,MCH-043,Plant-A,Predictive,Motor,2024-03-14,2024-06-07,0.89,2.29,254.96,98.07,TECH-002,Critical,Completed,Unknown,WO-0000016,Post-incident repair
MNT-000017,MCH-039,Plant-C,Preventive,Shaft,2024-11-11,2024-10-02,1.11,2.4,133.88,180.42,TECH-022,Low,In Progress,Wear,WO-0000017,Post-incident repair
MNT-000018,MCH-038,Plant-A,Predictive,Valve,2024-05-12,2024-12-22,11.06,3.16,792.44,1380.0,TECH-005,High,Completed,Unknown,WO-0000018,Scheduled replacement
MNT-000019,MCH-019,Plant-B,Emergency,Valve,2024-07-05,2024-12-11,1.93,1.51,305.13,557.82,TECH-021,Low,Completed,Corrosion,WO-0000019,Post-incident repair
MNT-000020,MCH-019,Plant-A,Corrective,Filter,2024-07-19,2024-06-04,0.5,2.53,176.45,2331.78,TECH-009,Medium,Completed,Corrosion,WO-0000020,Upgrade
MNT-000021,MCH-011,Plant-B,Predictive,Filter,2024-04-03,2024-06-18,2.14,0.5,208.56,385.24,TECH-026,High,Scheduled,Misalignment,WO-0000021,Routine check
MNT-000022,MCH-014,Plant-C,Preventive,Gearbox,2024-12-24,2024-04-29,2.34,4.54,266.86,106.01,TECH-008,High,Completed,Corrosion,WO-0000022,Post-incident repair
MNT-000023,MCH-045,Plant-C,Predictive,Sensor,2024-12-06,2024-10-18,6.42,3.54,273.45,198.02,TECH-003,High,In Progress,Corrosion,WO-0000023,Scheduled replacement
MNT-000024,MCH-012,Plant-A,Corrective,Gearbox,2024-06-18,2024-09-17,2.71,4.15,171.2,787.16,TECH-024,Medium,Completed,Misalignment,WO-0000024,Post-incident repair
MNT-000025,MCH-045,Plant-A,Predictive,Motor,2024-06-15,2024-07-27,11.12,2.34,2618.5,59.8,TECH-024,Medium,In Progress,Wear,WO-0000025,Scheduled replacement
MNT-000026,MCH-029,Plant-A,Predictive,Shaft,2024-08-20,2024-03-14,3.99,2.25,409.33,72.46,TECH-015,Low,Completed,Misalignment,WO-0000026,Unexpected failure
MNT-000027,MCH-001,Plant-B,Corrective,Belt,2024-09-06,2024-10-03,11.51,0.5,372.78,209.95,TECH-027,Low,Completed,Corrosion,WO-0000027,Upgrade
MNT-000028,MCH-024,Plant-B,Preventive,Valve,2024-01-16,2024-12-14,4.55,1.39,278.95,564.95,TECH-026,Medium,Completed,Overload,WO-0000028,Post-incident repair
MNT-000029,MCH-012,Plant-B,Overhaul,Valve,2024-02-03,2024-10-27,10.26,0.5,741.62,204.68,TECH-021,Medium,Scheduled,Overload,WO-0000029,Routine check
MNT-000030,MCH-029,Plant-A,Preventive,Bearing,2024-08-31,2024-06-10,0.5,1.73,58.51,312.87,TECH-007,Medium,Completed,Wear,WO-0000030,Upgrade
MNT-000031,MCH-032,Plant-A,Preventive,Gearbox,2024-02-27,2024-01-04,0.5,0.5,850.88,80.09,TECH-005,Medium,Completed,Misalignment,WO-0000031,Scheduled replacement
MNT-000032,MCH-011,Plant-C,Preventive,Pump,2024-06-28,2024-11-08,1.67,2.61,112.51,26.01,TECH-014,Medium,Completed,Lubrication,WO-0000032,Upgrade
MNT-000033,MCH-026,Plant-B,Emergency,Sensor,2024-09-02,2024-01-28,3.08,1.18,1599.15,262.92,TECH-008,High,Completed,Unknown,WO-0000033,Routine check
MNT-000034,MCH-037,Plant-A,Preventive,Gearbox,2024-08-24,2024-12-30,8.81,0.55,792.47,265.28,TECH-011,Medium,Scheduled,Overload,WO-0000034,Post-incident repair
MNT-000035,MCH-048,Plant-C,Predictive,Valve,2024-03-28,2024-07-02,6.97,4.71,643.05,227.4,TECH-011,Medium,Completed,Unknown,WO-0000035,Post-incident repair
MNT-000036,MCH-049,Plant-A,Corrective,Gearbox,2024-05-24,2024-10-27,2.75,6.75,963.07,562.54,TECH-015,Low,Scheduled,Corrosion,WO-0000036,Scheduled replacement
MNT-000037,MCH-035,Plant-B,Corrective,Belt,2024-06-27,2024-03-02,8.46,15.16,341.07,115.08,TECH-029,Medium,Cancelled,Corrosion,WO-0000037,Upgrade
MNT-000038,MCH-012,Plant-B,Predictive,Bearing,2024-11-05,2024-02-06,0.83,10.41,692.12,544.65,TECH-016,Medium,Completed,Wear,WO-0000038,Routine check
MNT-000039,MCH-028,Plant-A,Preventive,Shaft,2024-10-21,2024-11-10,3.33,1.83,1778.03,274.3,TECH-029,Critical,Cancelled,Corrosion,WO-0000039,Unexpected failure
MNT-000040,MCH-034,Plant-B,Corrective,Pump,2024-03-06,2024-02-02,0.66,0.5,509.01,847.4,TECH-012,High,In Progress,Wear,WO-0000040,Upgrade
MNT-000041,MCH-017,Plant-A,Predictive,Belt,2024-09-17,2024-09-28,15.32,2.39,259.25,60.96,TECH-020,High,Completed,Corrosion,WO-0000041,Routine check
MNT-000042,MCH-020,Plant-B,Corrective,Motor,2024-02-22,2024-07-30,5.02,10.15,1079.74,106.54,TECH-003,High,Completed,Wear,WO-0000042,Post-incident repair
MNT-000043,MCH-029,Plant-C,Overhaul,Belt,2024-07-26,2024-03-23,4.5,1.16,187.01,62.12,TECH-015,Low,Completed,Unknown,WO-0000043,Post-incident repair
MNT-000044,MCH-026,Plant-C,Preventive,Belt,2024-02-24,2024-04-09,11.16,0.5,1128.49,1242.2,TECH-021,Medium,Completed,Overload,WO-0000044,Unexpected failure
MNT-000045,MCH-012,Plant-A,Emergency,Motor,2024-06-15,2024-05-07,0.83,2.05,28.79,1395.37,TECH-026,Critical,Completed,Lubrication,WO-0000045,Scheduled replacement
MNT-000046,MCH-044,Plant-A,Preventive,Belt,2024-10-11,2024-11-03,3.96,0.5,136.75,303.27,TECH-017,Medium,Completed,Wear,WO-0000046,Scheduled replacement
MNT-000047,MCH-012,Plant-C,Preventive,Valve,2024-11-28,2024-04-01,0.5,4.11,71.96,236.93,TECH-009,Low,Scheduled,Unknown,WO-0000047,Unexpected failure
MNT-000048,MCH-029,Plant-C,Emergency,Filter,2024-02-06,2024-04-02,2.52,3.3,2344.98,147.5,TECH-021,Low,Completed,Lubrication,WO-0000048,Upgrade
MNT-000049,MCH-024,Plant-B,Preventive,Bearing,2024-06-03,2024-01-16,1.74,0.5,116.73,598.29,TECH-029,Medium,Cancelled,Lubrication,WO-0000049,Upgrade
MNT-000050,MCH-040,Plant-C,Preventive,Gearbox,2024-09-29,2024-11-28,4.61,0.5,1103.86,548.5,TECH-011,Low,Scheduled,Wear,WO-0000050,Post-incident repair
MNT-000051,MCH-008,Plant-C,Corrective,Gearbox,2024-08-24,2024-09-10,1.91,5.36,1121.49,268.45,TECH-026,Low,Completed,Misalignment,WO-0000051,Routine check
MNT-000052,MCH-028,Plant-C,Predictive,Pump,2024-07-24,2024-03-02,0.5,0.82,495.05,302.51,TECH-019,Low,Scheduled,Unknown,WO-0000052,Routine check
MNT-000053,MCH-031,Plant-A,Preventive,Motor,2024-10-29,2024-06-18,0.78,2.06,89.61,565.62,TECH-006,Medium,Completed,Unknown,WO-0000053,Scheduled replacement
MNT-000054,MCH-008,Plant-B,Predictive,Valve,2024-07-30,2024-02-15,4.43,0.51,1463.65,211.61,TECH-010,Low,In Progress,Lubrication,WO-0000054,Upgrade
MNT-000055,MCH-037,Plant-C,Corrective,Sensor,2024-05-02,2024-02-18,2.85,3.97,182.19,134.81,TECH-022,Critical,Scheduled,Misalignment,WO-0000055,Scheduled replacement
MNT-000056,MCH-006,Plant-B,Emergency,Coupling,2024-11-13,2024-07-25,14.16,4.17,746.38,231.39,TECH-003,High,Completed,Wear,WO-0000056,Post-incident repair
MNT-000057,MCH-044,Plant-B,Preventive,Filter,2024-05-04,2024-10-20,0.5,2.74,130.36,160.95,TECH-015,Critical,Completed,Overload,WO-0000057,Scheduled replacement
MNT-000058,MCH-024,Plant-B,Corrective,Pump,2024-10-07,2024-12-24,26.36,1.21,824.84,1253.86,TECH-029,High,Completed,Lubrication,WO-0000058,Post-incident repair
MNT-000059,MCH-046,Plant-B,Overhaul,Sensor,2024-03-22,2024-12-16,0.5,2.43,145.49,167.1,TECH-029,Medium,Completed,Misalignment,WO-0000059,Routine check
MNT-000060,MCH-013,Plant-A,Corrective,Belt,2024-09-03,2024-07-17,0.5,0.5,1115.43,178.19,TECH-008,Medium,Completed,Corrosion,WO-0000060,Scheduled replacement
MNT-000061,MCH-039,Plant-A,Preventive,Bearing,2024-07-15,2024-07-27,2.15,7.98,366.27,113.71,TECH-011,Medium,In Progress,Overload,WO-0000061,Unexpected failure
MNT-000062,MCH-008,Plant-B,Overhaul,Coupling,2024-02-03,2024-07-14,1.36,5.47,100.72,459.5,TECH-014,Low,Completed,Overload,WO-0000062,Routine check
MNT-000063,MCH-003,Plant-A,Preventive,Pump,2024-06-23,2024-12-22,2.33,0.65,288.45,66.23,TECH-014,Medium,Completed,Unknown,WO-0000063,Unexpected failure
MNT-000064,MCH-008,Plant-A,Predictive,Coupling,2024-04-16,2024-08-30,0.5,3.05,195.7,113.67,TECH-019,Low,Completed,Unknown,WO-0000064,Upgrade
MNT-000065,MCH-028,Plant-A,Corrective,Motor,2024-12-21,2024-03-11,4.92,0.87,35.89,83.08,TECH-020,Low,Completed,Unknown,WO-0000065,Unexpected failure
MNT-000066,MCH-049,Plant-A,Corrective,Belt,2024-10-29,2024-06-24,2.02,0.53,143.73,85.83,TECH-001,High,Completed,Lubrication,WO-0000066,Upgrade
MNT-000067,MCH-038,Plant-C,Corrective,Belt,2024-08-08,2024-04-03,4.96,0.79,312.99,651.87,TECH-016,High,Scheduled,Overload,WO-0000067,Upgrade
MNT-000068,MCH-046,Plant-A,Overhaul,Shaft,2024-08-10,2024-02-19,2.14,2.36,163.48,1511.54,TECH-020,Medium,Completed,Unknown,WO-0000068,Routine check
MNT-000069,MCH-027,Plant-A,Corrective,Sensor,2024-10-17,2024-06-08,2.53,0.5,310.72,91.02,TECH-012,Low,Completed,Unknown,WO-0000069,Upgrade
MNT-000070,MCH-027,Plant-C,Corrective,Valve,2024-06-24,2024-06-30,7.79,0.76,47.1,355.63,TECH-010,Low,In Progress,Corrosion,WO-0000070,Post-incident repair
MNT-000071,MCH-020,Plant-B,Predictive,Shaft,2024-10-05,2024-03-31,4.02,6.91,515.37,597.86,TECH-023,Medium,In Progress,Misalignment,WO-0000071,Unexpected failure
MNT-000072,MCH-028,Plant-B,Corrective,Sensor,2024-12-21,2024-12-28,0.5,1.62,31.85,878.46,TECH-030,Low,Completed,Unknown,WO-0000072,Routine check
MNT-000073,MCH-026,Plant-C,Preventive,Motor,2024-04-30,2024-08-08,5.77,4.27,1072.88,191.57,TECH-024,Critical,Completed,Overload,WO-0000073,Unexpected failure
MNT-000074,MCH-012,Plant-C,Overhaul,Filter,2024-03-29,2024-05-09,6.99,0.5,699.62,589.77,TECH-026,High,Scheduled,Unknown,WO-0000074,Upgrade
MNT-000075,MCH-047,Plant-A,Preventive,Shaft,2024-12-05,2024-09-12,10.36,6.39,42.94,184.1,TECH-014,Low,Completed,Corrosion,WO-0000075,Unexpected failure
MNT-000076,MCH-044,Plant-C,Corrective,Shaft,2024-12-08,2024-02-16,10.89,2.85,803.54,545.76,TECH-010,High,Completed,Wear,WO-0000076,Routine check
MNT-000077,MCH-048,Plant-B,Preventive,Pump,2024-02-09,2024-04-04,4.27,2.97,610.68,59.91,TECH-016,Medium,In Progress,Misalignment,WO-0000077,Post-incident repair
MNT-000078,MCH-014,Plant-C,Corrective,Bearing,2024-12-30,2024-05-13,0.5,0.79,1088.56,781.79,TECH-010,High,Cancelled,Misalignment,WO-0000078,Post-incident repair
MNT-000079,MCH-002,Plant-C,Predictive,Sensor,2024-10-20,2024-07-24,2.95,1.02,2572.96,123.55,TECH-021,Medium,In Progress,Unknown,WO-0000079,Unexpected failure
MNT-000080,MCH-043,Plant-B,Preventive,Motor,2024-09-06,2024-04-12,3.77,2.0,142.75,1211.62,TECH-023,Medium,Completed,Unknown,WO-0000080,Routine check
MNT-000081,MCH-038,Plant-A,Preventive,Shaft,2024-02-28,2024-04-26,12.7,3.82,115.82,816.76,TECH-014,Medium,Scheduled,Overload,WO-0000081,Upgrade
MNT-000082,MCH-019,Plant-C,Preventive,Coupling,2024-10-30,2024-06-28,4.82,0.95,76.87,848.0,TECH-025,Low,Scheduled,Wear,WO-0000082,Scheduled replacement
MNT-000083,MCH-048,Plant-A,Corrective,Bearing,2024-11-01,2024-11-27,1.92,5.79,171.58,377.85,TECH-016,Critical,Completed,Unknown,WO-0000083,Upgrade
MNT-000084,MCH-026,Plant-B,Preventive,Bearing,2024-08-25,2024-11-20,0.71,12.22,10.0,1443.33,TECH-018,Medium,Scheduled,Overload,WO-0000084,Unexpected failure
MNT-000085,MCH-011,Plant-B,Preventive,Coupling,2024-06-15,2024-02-11,1.57,2.16,339.15,230.88,TECH-005,High,Scheduled,Overload,WO-0000085,Post-incident repair
MNT-000086,MCH-019,Plant-C,Corrective,Shaft,2024-10-11,2024-06-22,3.63,3.11,11.38,1883.99,TECH-028,Medium,Completed,Corrosion,WO-0000086,Routine check
MNT-000087,MCH-022,Plant-A,Predictive,Motor,2024-02-19,2024-08-19,1.93,8.96,77.66,82.54,TECH-001,Medium,Scheduled,Corrosion,WO-0000087,Upgrade
MNT-000088,MCH-032,Plant-C,Predictive,Gearbox,2024-08-15,2024-02-18,2.74,3.11,466.02,54.55,TECH-005,Medium,Completed,Unknown,WO-0000088,Post-incident repair
MNT-000089,MCH-021,Plant-A,Predictive,Coupling,2024-03-31,2024-09-25,5.36,3.18,417.78,212.74,TECH-020,Critical,Completed,Misalignment,WO-0000089,Scheduled replacement
MNT-000090,MCH-033,Plant-B,Preventive,Motor,2024-06-06,2024-05-11,5.73,0.5,245.45,194.17,TECH-012,High,Completed,Lubrication,WO-0000090,Unexpected failure
MNT-000091,MCH-032,Plant-B,Corrective,Gearbox,2024-07-26,2024-01-11,7.75,3.76,33.61,473.81,TECH-016,Medium,Scheduled,Unknown,WO-0000091,Scheduled replacement
MNT-000092,MCH-018,Plant-B,Preventive,Gearbox,2024-02-05,2024-11-06,4.05,2.01,1795.97,149.14,TECH-013,Medium,Completed,Wear,WO-0000092,Unexpected failure
MNT-000093,MCH-027,Plant-C,Predictive,Valve,2024-11-02,2024-02-01,1.27,3.23,205.22,155.01,TECH-005,Medium,Completed,Lubrication,WO-0000093,Unexpected failure
MNT-000094,MCH-005,Plant-B,Preventive,Bearing,2024-02-25,2024-10-12,0.75,4.59,249.78,101.22,TECH-006,Low,Completed,Corrosion,WO-0000094,Post-incident repair
MNT-000095,MCH-012,Plant-B,Predictive,Gearbox,2024-12-16,2024-01-31,7.14,2.3,2889.29,420.03,TECH-008,Medium,Scheduled,Lubrication,WO-0000095,Post-incident repair
MNT-000096,MCH-011,Plant-A,Emergency,Sensor,2024-11-01,2024-12-15,4.08,0.85,579.77,228.28,TECH-005,High,Completed,Corrosion,WO-0000096,Routine check
MNT-000097,MCH-020,Plant-A,Corrective,Sensor,2024-07-13,2024-07-10,1.99,5.77,174.05,601.12,TECH-029,Medium,Completed,Wear,WO-0000097,Upgrade
MNT-000098,MCH-034,Plant-C,Preventive,Valve,2024-06-16,2024-02-18,1.03,5.13,521.17,363.84,TECH-013,Medium,Completed,Overload,WO-0000098,Routine check
MNT-000099,MCH-039,Plant-A,Preventive,Belt,2024-09-10,2024-03-27,0.92,0.5,332.35,187.17,TECH-022,Medium,Completed,Corrosion,WO-0000099,Post-incident repair
MNT-000100,MCH-010,Plant-C,Predictive,Valve,2024-11-26,2024-01-01,3.1,1.35,10.0,676.68,TECH-014,Low,Completed,Overload,WO-0000100,Upgrade
MNT-000101,MCH-008,Plant-A,Predictive,Gearbox,2024-12-04,2024-09-27,1.66,6.2,356.1,200.61,TECH-026,Medium,Completed,Overload,WO-0000101,Routine check
MNT-000102,MCH-019,Plant-B,Corrective,Sensor,2024-02-01,2024-01-07,2.06,4.71,562.8,1765.97,TECH-019,Medium,Scheduled,Lubrication,WO-0000102,Post-incident repair
MNT-000103,MCH-024,Plant-A,Corrective,Belt,2024-02-16,2024-01-03,14.52,6.87,440.27,80.09,TECH-014,Low,Completed,Misalignment,WO-0000103,Unexpected failure
MNT-000104,MCH-039,Plant-A,Preventive,Sensor,2024-04-21,2024-06-16,6.57,0.62,1739.79,71.96,TECH-018,Low,Completed,Lubrication,WO-0000104,Scheduled replacement
MNT-000105,MCH-001,Plant-C,Preventive,Coupling,2024-03-12,2024-07-15,14.73,2.4,336.73,186.61,TECH-019,Low,Completed,Unknown,WO-0000105,Upgrade
MNT-000106,MCH-018,Plant-A,Corrective,Filter,2024-10-24,2024-06-05,3.97,1.94,147.78,206.12,TECH-016,Low,Completed,Wear,WO-0000106,Unexpected failure
MNT-000107,MCH-032,Plant-B,Preventive,Coupling,2024-11-21,2024-01-15,0.5,0.71,139.29,101.54,TECH-030,Low,Completed,Unknown,WO-0000107,Scheduled replacement
MNT-000108,MCH-048,Plant-A,Corrective,Valve,2024-01-01,2024-10-17,0.82,2.09,757.14,775.15,TECH-003,Low,Completed,Overload,WO-0000108,Routine check
MNT-000109,MCH-037,Plant-C,Predictive,Gearbox,2024-03-16,2024-10-15,5.44,0.92,78.76,183.38,TECH-022,Low,Completed,Misalignment,WO-0000109,Scheduled replacement
MNT-000110,MCH-007,Plant-B,Corrective,Belt,2024-12-04,2024-07-10,8.6,4.7,260.22,71.77,TECH-006,Medium,Completed,Lubrication,WO-0000110,Routine check
MNT-000111,MCH-028,Plant-B,Corrective,Pump,2024-03-17,2024-02-05,0.57,9.87,456.2,1174.64,TECH-019,Medium,Completed,Unknown,WO-0000111,Scheduled replacement
MNT-000112,MCH-043,Plant-B,Preventive,Shaft,2024-08-19,2024-03-29,5.62,5.11,803.95,42.32,TECH-026,Medium,Completed,Corrosion,WO-0000112,Unexpected failure
MNT-000113,MCH-046,Plant-A,Predictive,Shaft,2024-09-29,2024-04-06,0.5,3.72,244.23,653.94,TECH-029,Medium,Scheduled,Misalignment,WO-0000113,Routine check
MNT-000114,MCH-025,Plant-C,Predictive,Filter,2024-05-29,2024-11-21,1.74,2.53,487.47,542.62,TECH-030,Medium,In Progress,Corrosion,WO-0000114,Unexpected failure
MNT-000115,MCH-049,Plant-A,Corrective,Coupling,2024-07-18,2024-11-13,0.86,0.5,547.03,1927.34,TECH-016,Low,Completed,Overload,WO-0000115,Scheduled replacement
MNT-000116,MCH-041,Plant-A,Predictive,Motor,2024-11-11,2024-09-12,0.5,12.67,94.3,1046.52,TECH-001,Medium,In Progress,Unknown,WO-0000116,Unexpected failure
MNT-000117,MCH-047,Plant-A,Emergency,Motor,2024-10-22,2024-04-03,5.13,1.81,50.65,88.8,TECH-026,Critical,Completed,Wear,WO-0000117,Upgrade
MNT-000118,MCH-019,Plant-A,Predictive,Belt,2024-08-16,2024-10-01,2.33,0.5,1279.12,136.9,TECH-005,High,Scheduled,Corrosion,WO-0000118,Post-incident repair
MNT-000119,MCH-003,Plant-C,Preventive,Shaft,2024-04-10,2024-04-21,2.16,1.11,333.91,1904.09,TECH-015,Medium,Completed,Wear,WO-0000119,Scheduled replacement
MNT-000120,MCH-012,Plant-A,Predictive,Coupling,2024-04-15,2024-06-25,13.73,11.36,518.37,948.33,TECH-030,Medium,Completed,Wear,WO-0000120,Post-incident repair
MNT-000121,MCH-001,Plant-A,Predictive,Filter,2024-12-14,2024-02-19,1.7,0.5,83.32,372.82,TECH-017,Medium,Completed,Overload,WO-0000121,Scheduled replacement
MNT-000122,MCH-014,Plant-C,Preventive,Shaft,2024-06-11,2024-12-15,1.48,0.7,305.05,80.3,TECH-024,Low,Completed,Lubrication,WO-0000122,Upgrade
MNT-000123,MCH-046,Plant-B,Corrective,Belt,2024-06-02,2024-03-20,1.97,3.64,102.7,545.14,TECH-003,Medium,In Progress,Corrosion,WO-0000123,Post-incident repair
MNT-000124,MCH-038,Plant-A,Emergency,Filter,2024-10-18,2024-11-03,0.73,3.92,28.13,270.87,TECH-006,High,Completed,Misalignment,WO-0000124,Routine check
MNT-000125,MCH-002,Plant-B,Preventive,Motor,2024-12-13,2024-07-10,1.44,3.43,1213.75,144.22,TECH-023,Medium,Completed,Lubrication,WO-0000125,Scheduled replacement
MNT-000126,MCH-024,Plant-B,Preventive,Pump,2024-06-04,2024-10-20,5.3,2.1,443.69,462.23,TECH-024,Critical,Completed,Misalignment,WO-0000126,Upgrade
MNT-000127,MCH-042,Plant-C,Preventive,Gearbox,2024-08-10,2024-03-31,6.47,0.73,290.71,373.7,TECH-026,Low,Completed,Corrosion,WO-0000127,Post-incident repair
MNT-000128,MCH-015,Plant-A,Predictive,Filter,2024-06-25,2024-08-13,2.39,0.87,920.86,84.75,TECH-017,Medium,Completed,Misalignment,WO-0000128,Upgrade
MNT-000129,MCH-025,Plant-C,Predictive,Motor,2024-02-15,2024-12-27,3.49,0.75,344.02,433.59,TECH-024,Critical,Completed,Wear,WO-0000129,Routine check
MNT-000130,MCH-044,Plant-B,Corrective,Filter,2024-10-25,2024-03-31,9.39,15.59,50.51,118.53,TECH-024,High,Completed,Misalignment,WO-0000130,Scheduled replacement
MNT-000131,MCH-034,Plant-C,Predictive,Valve,2024-01-05,2024-09-16,0.9,0.5,831.11,974.02,TECH-019,Critical,Completed,Overload,WO-0000131,Scheduled replacement
MNT-000132,MCH-015,Plant-B,Predictive,Belt,2024-11-09,2024-03-17,3.41,4.27,345.6,1072.19,TECH-025,High,Scheduled,Misalignment,WO-0000132,Upgrade
MNT-000133,MCH-013,Plant-C,Preventive,Pump,2024-09-18,2024-08-15,0.57,5.04,271.76,1733.95,TECH-028,High,Completed,Overload,WO-0000133,Post-incident repair
MNT-000134,MCH-025,Plant-C,Predictive,Motor,2024-07-25,2024-01-16,1.62,0.5,668.57,200.51,TECH-013,Critical,In Progress,Unknown,WO-0000134,Post-incident repair
MNT-000135,MCH-050,Plant-B,Corrective,Gearbox,2024-03-06,2024-11-14,0.5,0.5,445.27,257.52,TECH-024,Low,Completed,Misalignment,WO-0000135,Upgrade
MNT-000136,MCH-002,Plant-C,Preventive,Bearing,2024-05-30,2024-01-20,0.64,3.77,470.81,181.38,TECH-021,Critical,In Progress,Overload,WO-0000136,Scheduled replacement
MNT-000137,MCH-034,Plant-C,Overhaul,Shaft,2024-02-01,2024-10-02,0.9,10.73,1052.18,47.92,TECH-012,Low,Completed,Lubrication,WO-0000137,Post-incident repair
MNT-000138,MCH-033,Plant-B,Corrective,Belt,2024-07-08,2024-03-02,0.53,1.69,314.06,71.85,TECH-014,High,Completed,Unknown,WO-0000138,Scheduled replacement
MNT-000139,MCH-035,Plant-A,Corrective,Motor,2024-10-08,2024-06-08,0.97,4.98,168.85,674.43,TECH-015,Medium,In Progress,Unknown,WO-0000139,Upgrade
MNT-000140,MCH-012,Plant-A,Preventive,Bearing,2024-01-28,2024-05-29,1.67,3.53,189.63,487.51,TECH-017,Critical,Completed,Misalignment,WO-0000140,Routine check
MNT-000141,MCH-033,Plant-C,Emergency,Sensor,2024-01-01,2024-02-25,1.57,0.5,1540.64,189.76,TECH-027,Medium,Completed,Lubrication,WO-0000141,Upgrade
MNT-000142,MCH-035,Plant-B,Preventive,Bearing,2024-12-26,2024-06-27,1.07,1.13,19.23,525.66,TECH-029,Critical,Completed,Unknown,WO-0000142,Routine check
MNT-000143,MCH-012,Plant-C,Corrective,Sensor,2024-10-13,2024-12-15,1.62,6.67,362.05,125.51,TECH-029,High,In Progress,Overload,WO-0000143,Routine check
MNT-000144,MCH-012,Plant-B,Predictive,Pump,2024-07-02,2024-04-02,0.5,4.38,747.26,711.73,TECH-021,Critical,Completed,Wear,WO-0000144,Upgrade
MNT-000145,MCH-044,Plant-B,Corrective,Coupling,2024-02-26,2024-10-29,3.87,0.5,749.29,1275.47,TECH-010,Medium,Completed,Misalignment,WO-0000145,Post-incident repair
MNT-000146,MCH-002,Plant-A,Corrective,Bearing,2024-05-24,2024-09-22,2.14,1.65,1239.36,101.39,TECH-012,High,Completed,Misalignment,WO-0000146,Unexpected failure
MNT-000147,MCH-038,Plant-A,Corrective,Coupling,2024-01-16,2024-03-26,2.95,0.5,1133.77,92.65,TECH-016,Medium,Completed,Misalignment,WO-0000147,Scheduled replacement
MNT-000148,MCH-029,Plant-C,Predictive,Bearing,2024-04-30,2024-02-21,2.59,0.5,2148.16,1199.15,TECH-018,Medium,In Progress,Overload,WO-0000148,Routine check
MNT-000149,MCH-022,Plant-C,Emergency,Bearing,2024-08-09,2024-09-11,3.5,3.45,168.49,87.06,TECH-009,High,Completed,Unknown,WO-0000149,Scheduled replacement
